STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Acetaminophen,Drug,C0000970,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen,henphequan.txt
2,Adipokine,Mechanism,C1955907,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,"Các chất trung gian chính liên quan đến các nghiên cứu quan sát và nghiên cứu cắt ngang bao gồm leptin, adipokine và Il-6 huyết thanh.",henphequan.txt
3,Aspirin,Drug,C0004057,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,Việc điều trị đầu tiên cho hen nhạy cảm aspirin là tránh aspirin và NSAID khác.,henphequan.txt
4,Azithromycin,Drug,C0052796,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
5,Azithromycin,Drug,C0052796,,Điều trị,Chồng chéo Hen suyễn-COPD,Disease,C4038730,,ACO đại diện cho một nhóm nhỏ bệnh nhân hen suyễn (từ 15 đến 35%) và COPD (từ 10 đến 40%) có thể đáp ứng với các loại thuốc không thường được chỉ định cho tình trạng rối loạn tương ứng với chẩn đoán chính của bệnh nhân (ví dụ: kê đơn roflimulast/azithromycin,henphequan.txt
6,Azithromycin,Drug,C0052796,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
7,Azithromycin,Drug,C0052796,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
8,Bisphosphonat,Drug,C0012544,,Điều trị,Loãng xương,Disease,C0029456,,"Bệnh nhân cần dùng corticosteroid hít, đặc biệt là những người có các yếu tố nguy cơ gây loãng xương, có thể cần dùng thêm các biện pháp để bảo vệ mật độ xương (ví dụ: chất bổ sung canxi và vitamin D, bisphosphonat).",henphequan.txt
9,Béo phì,RiskFactor,C0028754,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
10,Bạch cầu ái toan,Mechanism,C0014467,,Là một phần của cơ chế,Đáp ứng miễn dịch T2,Mechanism,Chưa có,,Đáp ứng T2 tiền viêm được đặc trưng bởi sự tăng trưởng và kích hoạt quá trình sản sinh bạch cầu ái toan và IgE.,henphequan.txt
11,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
12,Bệnh trào ngược dạ dày thực quản (GERD),Disease,C0017168,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,GERD là một tác nhân thông thường trong một số bệnh nhân hen,henphequan.txt
13,Bộ lọc không khí HEPA,Treatment,C1881047,,Điều trị,Bệnh hen do tập luyện,Disease,C0004099,,Bộ lọc không khí hạt có hiệu suất cao (HEPA) có thể làm giảm các triệu chứng,henphequan.txt
14,Bộ lọc không khí HEPA,Treatment,C1881047,,Điều trị,Hen do gắng sức,DiseaseSubtype,C0004099,,Bộ lọc không khí hạt có hiệu suất cao (HEPA) có thể làm giảm các triệu chứng,henphequan.txt
15,Canxi và Vitamin D,Treatment,C0006730,,Điều trị,Loãng xương,Disease,C0029456,,"Bệnh nhân cần dùng corticosteroid hít, đặc biệt là những người có các yếu tố nguy cơ gây loãng xương, có thể cần dùng thêm các biện pháp để bảo vệ mật độ xương (ví dụ: chất bổ sung canxi và vitamin D, bisphosphonat).",henphequan.txt
16,Celecoxib,Drug,C0538927,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,"Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen, choline magnesium salicylate, hoặc NSAID có tính chọn lọc cao như celecoxib khi họ cần thuốc giảm đau.",henphequan.txt
17,Choline magnesium salicylate,Drug,C2930097,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,"Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen, choline magnesium salicylate, hoặc NSAID có tính chọn lọc cao như celecoxib khi họ cần thuốc giảm đau.",henphequan.txt
18,Chất gây dị ứng trong gia đình,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Các bằng chứng cho thấy có sự liên quan của các chất gây dị ứng trong gia đình (ví dụ: bụi, gián, vật nuôi) và các chất gây dị ứng môi trường khác đối với sự phát triển bệnh ở trẻ em và người lớn.",henphequan.txt
19,"Chế độ ăn thiếu hụt vitamin C, E và axit béo omega-3",RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Chế độ ăn ít vitamin C, E và axit béo omega-3 có liên quan đến hen suyễn",henphequan.txt
20,Chỉ số huyết áp,Test,C0005824,,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,Không giống như tăng huyết áp (ví dụ: trong đó một chỉ số [HA] xác định mức độ nghiêm trọng của rối loạn và hiệu quả điều trị),henphequan.txt
21,Chỉnh hình phế quản bằng nhiệt,Treatment,C3854686,,Điều trị,Hen nặng không kiểm soát,DiseaseSubtype,C3862402,,Tiêu chuẩn để xem xét chỉnh hình phế quản bằng nhiệt bao gồm bệnh hen nặng không được kiểm soát,henphequan.txt
