STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Albuterol,Drug,C0001927,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
2,Azithromycin 250 mg/ngày,Drug,Chưa có,dosage: 250 mg; frequency: một lần/ngày,Dự phòng,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
3,Bình xịt định liều,Treatment,C0993596,,Thiết bị hỗ trợ điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Để điều trị tại nhà đối với bệnh mạn tính ổn định, sử dụng thuốc bằng ống hít định liều hoặc ống hít bột khô được ưu tiên hơn là dùng bằng máy khí dung",02_dieutri.txt
4,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Làm tăng nguy cơ mắc,Biến chứng hô hấp do cúm,Complication,Chưa có,,Nếu COPD làm tăng nguy cơ bị các biến chứng hô hấp do cúm,02_dieutri.txt
5,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Suy dinh dưỡng,Complication,C0162429,,Bệnh nhân mắc COPD có nguy cơ sụt cân và thiếu hụt dinh dưỡng,02_dieutri.txt
6,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Sụt cân,Complication,C1262477,,Bệnh nhân mắc COPD có nguy cơ sụt cân,02_dieutri.txt
7,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Teo cơ,Complication,C0026846,,để ngăn ngừa hoặc đảo ngược tình trạng suy dinh dưỡng và teo cơ.,02_dieutri.txt
8,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Thiếu hụt dinh dưỡng,Complication,C4761312,,Bệnh nhân mắc COPD có nguy cơ sụt cân và thiếu hụt dinh dưỡng,02_dieutri.txt
9,Bổ sung dinh dưỡng,Treatment,C0242295,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Bổ sung dinh dưỡng nên được giới hạn ở những bệnh nhân bị thiếu dinh dưỡng,02_dieutri.txt
10,Canxi,Test,C0006675,,Điều trị dự phòng,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"và có thể nên nhận bổ sung canxi, vitamin D và bisphosphonate theo chỉ định.",02_dieutri.txt
11,Chia nhỏ bữa ăn,Treatment,C0515109,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Chia nhỏ bữa ăn có thể hữu ích.,02_dieutri.txt
12,Chế độ ăn uống cân bằng,Treatment,C0452410,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,đề nghị một chế độ ăn uống cân bằng với lượng calo thích hợp cùng với tập thể dục để ngăn ngừa hoặc đảo ngược tình trạng suy dinh dưỡng và teo cơ.,02_dieutri.txt
13,Chụp CT,Test,C0040405,,Dùng để chẩn đoán,Kén khí,DiseaseSubtype,C0241982,,Phim chụp X-quang ngực và chụp CT tuần tự là những thủ thuật hữu ích nhất để xác định xem tình trạng chức năng của bệnh nhân là do phổi còn sống bị chèn ép bởi kén khí hay do khí thũng toàn thể.,02_dieutri.txt
14,Corticosteroid dạng hít,DrugClass,C4020618,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,"Thuốc này không làm thay đổi quá trình suy giảm chức năng phổi ở những bệnh nhân COPD tiếp tục hút thuốc, nhưng chúng làm giảm triệu chứng và cải thiện chức năng phổi trong thời gian ngắn ở một số bệnh nhân, tăng tác dụng của thuốc giãn phế quản và có thể làm giảm tần suất đợt cấp của COPD.",02_dieutri.txt
15,Dinh dưỡng,Treatment,C0242739,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Tối ưu hóa việc sử dụng các biện pháp hỗ trợ (như dinh dưỡng, phục hồi chức năng hô hấp, tự tập thể dục).",02_dieutri.txt
16,Dinh dưỡng,Treatment,C0242739,,Hỗ trợ điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tối ưu hóa việc sử dụng các biện pháp hỗ trợ (như dinh dưỡng, phục hồi chức năng hô hấp, tự tập thể dục).",02_dieutri.txt
17,Dinh dưỡng,Treatment,C0242739,,Hỗ trợ điều trị,Hạn chế luồng khí,Sign,C0024117,,"Tối ưu hóa việc sử dụng các biện pháp hỗ trợ (như dinh dưỡng, phục hồi chức năng hô hấp, tự tập thể dục).",02_dieutri.txt
18,Erythromycin,Drug,C0014806,,Lựa chọn thay thế dự phòng,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Erythromycin có thể là một lựa chọn thay thế.,02_dieutri.txt
19,Erythromycin,Drug,C0014806,,Điều trị,Đợt cấp COPD,DiseaseSubtype,C0340044,,Erythromycin có thể là một lựa chọn thay thế.,02_dieutri.txt
20,GOLD,Guideline,Chưa có,,Phân loại thể bệnh,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Adapted from the Global Initiative for Chronic Obstructive Lung Disease (GOLD): Global Strategy for the Prevention, Diagnosis, and Management of COPD: 2024 report.",02_dieutri.txt
21,GOLD,Guideline,Chưa có,,Đánh giá mức độ,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Adapted from the Global Initiative for Chronic Obstructive Lung Disease (GOLD): Global Strategy for the Prevention, Diagnosis, and Management of COPD: 2024 report.",02_dieutri.txt
22,GOLD,Guideline,Chưa có,,Đánh giá mức độ,Hạn chế luồng khí,Sign,C0024117,,"Adapted from the Global Initiative for Chronic Obstructive Lung Disease (GOLD): Global Strategy for the Prevention, Diagnosis, and Management of COPD: 2024 report.",02_dieutri.txt
