source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
Albuterol,Drug,C0001927,,TREATS,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.9,1,2,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
Albuterol,Drug,C0001927,,TREATS,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.9,1,2,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
Albuterol,Drug,C0001927,,TREATS,Hạn chế luồng khí,Sign,C0024117,,0.9,1,2,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
Azithromycin 250 mg/ngày,Drug,,dosage: 250 mg; frequency: một lần/ngày,TREATS,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.9,1,2,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
Azithromycin 250 mg/ngày,Drug,,dosage: 250 mg; frequency: một lần/ngày,TREATS,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.9,1,2,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
Azithromycin 250 mg/ngày,Drug,,dosage: 250 mg; frequency: một lần/ngày,TREATS,Hạn chế luồng khí,Sign,C0024117,,0.9,1,2,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
Bupropion,Drug,C0085208,,TREATS,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.9,1,2,"Tỷ lệ cai thuốc nhìn chung thấp ở những bệnh nhân mắc COPD, ngay cả khi có những biện pháp can thiệp hiệu quả nhất, chẳng hạn như sử dụng bupropion phối hợp với thay thế nicotin hoặc chỉ sử dụng varenicline.",02_dieutri.txt
Bupropion,Drug,C0085208,,TREATS,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.9,1,2,"Tỷ lệ cai thuốc nhìn chung thấp ở những bệnh nhân mắc COPD, ngay cả khi có những biện pháp can thiệp hiệu quả nhất, chẳng hạn như sử dụng bupropion phối hợp với thay thế nicotin hoặc chỉ sử dụng varenicline.",02_dieutri.txt
Bupropion,Drug,C0085208,,TREATS,Hạn chế luồng khí,Sign,C0024117,,0.9,1,2,"Tỷ lệ cai thuốc nhìn chung thấp ở những bệnh nhân mắc COPD, ngay cả khi có những biện pháp can thiệp hiệu quả nhất, chẳng hạn như sử dụng bupropion phối hợp với thay thế nicotin hoặc chỉ sử dụng varenicline.",02_dieutri.txt
Bình xịt định liều,Treatment,C0993596,,TREATS,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.9,1,2,"Để điều trị tại nhà đối với bệnh mạn tính ổn định, sử dụng thuốc bằng ống hít định liều hoặc ống hít bột khô được ưu tiên hơn là dùng bằng máy khí dung",02_dieutri.txt
