STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Quan hệ (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Đồng thuận (Passes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,130/80 mmHg,Measurement,Chưa có,DEFINES_THRESHOLD_FOR,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C4073145,2/2,Tăng huyết áp giai đoạn 1 được xác định khi huyết áp tâm thu từ 130 đến 139 mmHg hoặc huyết áp tâm trương từ 80 đến 89 mmHg (ngưỡng 130/80 mmHg).,hypertension_sample.txt
2,ACC/AHA,Guideline,Chưa có,CLASSIFIES,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C4073145,2/2,"Theo hướng dẫn của ACC/AHA, Tăng huyết áp giai đoạn 1 được xác định khi huyết áp tâm thu từ 130 đến 139 mmHg hoặc huyết áp tâm trương từ 80 đến 89 mmHg (ngưỡng 130/80 mmHg).",hypertension_sample.txt
3,ACC/AHA,Guideline,C3839848,CLASSIFIES,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C4073145,2/2,"Theo hướng dẫn của ACC/AHA, Tăng huyết áp giai đoạn 1 được xác định khi huyết áp tâm thu từ 130 đến 139 mmHg hoặc huyết áp tâm trương từ 80 đến 89 mmHg (ngưỡng 130/80 mmHg).",hypertension_sample.txt
4,Cường aldosteron nguyên phát,Cause,C0020438,CAUSES,Tăng huyết áp thứ phát,DiseaseSubtype,C0155615,2/2,"Nguyên nhân gây Tăng huyết áp thứ phát bao gồm bệnh nhu mô thận, hẹp động mạch thận, và Cường aldosteron nguyên phát.",hypertension_sample.txt
5,Cường aldosteron nguyên phát,Cause,C0020438,LEADS_TO,Tăng huyết áp,Disease,C0020538,2/2,Cường aldosteron nguyên phát... là một nguyên nhân quan trọng dẫn đến Tăng huyết áp.,hypertension_sample.txt
6,Thuốc chẹn kênh canxi,DrugClass,C0006684,TREATS,Tăng huyết áp,Disease,C0020538,1/2,Các nhóm thuốc hạ áp hàng đầu bao gồm... Thuốc chẹn kênh canxi,hypertension_sample.txt
7,Thuốc chẹn thụ thể angiotensin (ARB),DrugClass,C0139702,TREATS,Tăng huyết áp,Disease,C0020538,1/2,Các nhóm thuốc hạ áp hàng đầu bao gồm... Thuốc chẹn thụ thể angiotensin (ARB),hypertension_sample.txt
8,Thuốc lợi tiểu thiazide,DrugClass,C0039864,TREATS,Tăng huyết áp,Disease,C0020538,1/2,Các nhóm thuốc hạ áp hàng đầu bao gồm... Thuốc lợi tiểu thiazide,hypertension_sample.txt
9,Thuốc ức chế men chuyển (ACE inhibitor),DrugClass,C0003015,PREFERRED_FOR,bệnh nhân đái tháo đường,PatientGroup,C0011849,2/2,Thuốc ức chế men chuyển (ACE inhibitor) được chỉ định phổ biến để điều trị Tăng huyết áp và giúp bảo vệ chức năng thận ở bệnh nhân đái tháo đường.,hypertension_sample.txt
10,Thuốc ức chế men chuyển (ACE inhibitor),DrugClass,C0003015,TREATS,Tăng huyết áp,Disease,C0020538,2/2,Thuốc ức chế men chuyển (ACE inhibitor) được chỉ định phổ biến để điều trị Tăng huyết áp,hypertension_sample.txt
