STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Albuterol,Drug,C0001927,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
2,Albuterol,Drug,C0001927,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
3,Albuterol,Drug,C0001927,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
4,Azithromycin 250 mg/ngày,Drug,Chưa có,dosage: 250 mg; frequency: một lần/ngày,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
5,Azithromycin 250 mg/ngày,Drug,Chưa có,dosage: 250 mg; frequency: một lần/ngày,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
6,Azithromycin 250 mg/ngày,Drug,Chưa có,dosage: 250 mg; frequency: một lần/ngày,Điều trị,Hạn chế luồng khí,Sign,C0024117,,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
7,Bupropion,Drug,C0085208,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Tỷ lệ cai thuốc nhìn chung thấp ở những bệnh nhân mắc COPD, ngay cả khi có những biện pháp can thiệp hiệu quả nhất, chẳng hạn như sử dụng bupropion phối hợp với thay thế nicotin hoặc chỉ sử dụng varenicline.",02_dieutri.txt
8,Bupropion,Drug,C0085208,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tỷ lệ cai thuốc nhìn chung thấp ở những bệnh nhân mắc COPD, ngay cả khi có những biện pháp can thiệp hiệu quả nhất, chẳng hạn như sử dụng bupropion phối hợp với thay thế nicotin hoặc chỉ sử dụng varenicline.",02_dieutri.txt
9,Bupropion,Drug,C0085208,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,"Tỷ lệ cai thuốc nhìn chung thấp ở những bệnh nhân mắc COPD, ngay cả khi có những biện pháp can thiệp hiệu quả nhất, chẳng hạn như sử dụng bupropion phối hợp với thay thế nicotin hoặc chỉ sử dụng varenicline.",02_dieutri.txt
10,Bình xịt định liều,Treatment,C0993596,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Để điều trị tại nhà đối với bệnh mạn tính ổn định, sử dụng thuốc bằng ống hít định liều hoặc ống hít bột khô được ưu tiên hơn là dùng bằng máy khí dung",02_dieutri.txt
11,Bình xịt định liều,Treatment,C0993596,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Để điều trị tại nhà đối với bệnh mạn tính ổn định, sử dụng thuốc bằng ống hít định liều hoặc ống hít bột khô được ưu tiên hơn là dùng bằng máy khí dung",02_dieutri.txt
12,Bình xịt định liều,Treatment,C0993596,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,"Để điều trị tại nhà đối với bệnh mạn tính ổn định, sử dụng thuốc bằng ống hít định liều hoặc ống hít bột khô được ưu tiên hơn là dùng bằng máy khí dung",02_dieutri.txt
13,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Làm tăng nguy cơ mắc,Biến chứng hô hấp do cúm,Complication,Chưa có,,Nếu COPD làm tăng nguy cơ bị các biến chứng hô hấp do cúm,02_dieutri.txt
14,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Suy dinh dưỡng,Complication,C0162429,,Bệnh nhân mắc COPD có nguy cơ sụt cân và thiếu hụt dinh dưỡng,02_dieutri.txt
15,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Sụt cân,Complication,C1262477,,Bệnh nhân mắc COPD có nguy cơ sụt cân,02_dieutri.txt
16,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Teo cơ,Complication,C0026846,,để ngăn ngừa hoặc đảo ngược tình trạng suy dinh dưỡng và teo cơ.,02_dieutri.txt
17,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Thiếu hụt dinh dưỡng,Complication,C4761312,,Bệnh nhân mắc COPD có nguy cơ sụt cân và thiếu hụt dinh dưỡng,02_dieutri.txt
18,Bổ sung dinh dưỡng,Treatment,C0242295,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Bổ sung dinh dưỡng nên được giới hạn ở những bệnh nhân bị thiếu dinh dưỡng,02_dieutri.txt
19,Bổ sung dinh dưỡng,Treatment,C0242295,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Bổ sung dinh dưỡng nên được giới hạn ở những bệnh nhân bị thiếu dinh dưỡng,02_dieutri.txt
20,Bổ sung dinh dưỡng,Treatment,C0242295,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,Bổ sung dinh dưỡng nên được giới hạn ở những bệnh nhân bị thiếu dinh dưỡng,02_dieutri.txt
21,Canxi,Test,C0006675,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"và có thể nên nhận bổ sung canxi, vitamin D và bisphosphonate theo chỉ định.",02_dieutri.txt
