STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,ACC/AHA,Guideline,C4072694,,Phân loại thể bệnh,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C5231206,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
2,ACC/AHA,Guideline,C4072694,,Phân loại thể bệnh,Tăng huyết áp giai đoạn 2,DiseaseSubtype,C5231205,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
3,ACE,Mechanism,C1452534,,Gây tổn thương cơ quan,Não,Organ,C0006104,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
4,ACE,Mechanism,C1452534,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi",01_tanghuyetap.txt
5,ACE,Mechanism,C1452534,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
6,Aldosterone,Mechanism,C0002006,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,Aldosterone gây giữ natri,01_tanghuyetap.txt
7,Angiotensin,Mechanism,C4521302,,Là cơ chế sinh bệnh học của,Tăng huyết áp,Disease,C0020538,,"sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
8,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Aldosterone,Mechanism,C0002006,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
9,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Bệnh mạch thận,Cause,C0020545,,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
10,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
11,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Vasopressin,Mechanism,C1705480,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
12,Biến chứng tăng huyết áp,Complication,C3266050,,Gây tổn thương cơ quan,"Cơ quan đích (Tim mạch, Não, Thận)",Organ,Chưa có,,"Tăng huyết áp nặng hoặc kéo dài gây tổn thương hệ tim mạch, não và thận, làm tăng nguy cơ nhồi máu cơ tim, đột quỵ, và bệnh thận mạn.",01_tanghuyetap.txt
13,Biến chứng tăng huyết áp,Complication,C3266050,,Gây tổn thương cơ quan,"Hệ tim mạch, não, thận",Organ,Chưa có,,"Tăng huyết áp nặng hoặc kéo dài gây tổn thương hệ tim mạch, não và thận, làm tăng nguy cơ nhồi máu cơ tim, đột quỵ, và bệnh thận mạn.",01_tanghuyetap.txt
14,Bradykinin,Mechanism,C0006100,,Là cơ chế sinh bệnh học của,Tăng huyết áp,Disease,C0020538,,"Thiếu hụt chất giãn mạch (ví dụ: bradykinin, oxit nitric), thay vì sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
15,Bảng xét nghiệm chuyển hóa đầy đủ,Test,C0519825,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,"bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi)",01_tanghuyetap.txt
16,Bảng xét nghiệm lipid,Test,C0200382,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,"Bảng xét nghiệm lipid, bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi), glucose huyết tương lúc đói",01_tanghuyetap.txt
17,Bệnh cơ tim giãn,DiseaseSubtype,C0007193,,Dẫn đến biến chứng,Suy tim,Complication,C0018801,,gây ra bệnh cơ tim giãn và suy tim,01_tanghuyetap.txt
18,Bệnh mạch thận,Cause,C0020545,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
19,Bệnh nhu mô thận,Cause,C1841992,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,"Nếu thận không sản sinh đủ lượng thuốc giãn mạch (do bệnh nhu mô thận), huyết áp có thể tăng.",01_tanghuyetap.txt
20,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Nguyên nhân thứ phát gây tăng huyết áp,Cause,C0155616,,"chỉ có 5% đến 15% là thứ phát do một bệnh lý khác (ví dụ: cường aldosteron nguyên phát, bệnh nhu mô thận).",01_tanghuyetap.txt
21,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
22,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"chỉ có 5% đến 15% là thứ phát do một bệnh lý khác (ví dụ: cường aldosteron nguyên phát, bệnh nhu mô thận).",01_tanghuyetap.txt
23,Bệnh thận,Disease,C0022658,,Làm tăng nguy cơ mắc,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
24,Bệnh thận,Disease,C0022658,,Làm tăng nguy cơ mắc,Xơ vữa động mạch,Mechanism,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
25,Bệnh thận mạn tính,Cause,C1561643,,Là nguyên nhân gây ra,Nguyên nhân thứ phát gây tăng huyết áp,Cause,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
26,Bệnh thận mạn tính,Cause,C1561643,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
27,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Gây tổn thương cơ quan,Mắt,Organ,C4266572,,"Xơ vữa động mạch được đặc trưng bởi tình trạng phì đại, tăng sản và hyalin hóa ở lớp giữa của các động mạch nhỏ (tiểu động mạch), đặc biệt là ở mắt và thận.",01_tanghuyetap.txt
28,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,"Xơ vữa động mạch được đặc trưng bởi tình trạng phì đại, tăng sản và hyalin hóa ở lớp giữa của các động mạch nhỏ (tiểu động mạch), đặc biệt là ở mắt và thận.",01_tanghuyetap.txt
29,Cam thảo,RiskFactor,C0086555,,Làm tăng nguy cơ mắc,Tăng huyết áp,Disease,C0020538,,Cam thảo có thể làm trầm trọng thêm khả năng kiểm soát huyết áp.,01_tanghuyetap.txt
30,Chuyên gia tăng huyết áp,Treatment,C5958903,,Điều trị,Tăng huyết áp,Disease,C0020538,,Những bệnh nhân khó khăn trong kiểm soát huyết áp như vậy nên tham khảo ý kiến của các chuyên gia về tăng huyết áp.,01_tanghuyetap.txt
31,Căng thẳng,RiskFactor,C0038443,,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,DiseaseSubtype,C0085580,,"Ở độ tuổi trẻ hơn, các yếu tố môi trường (ví dụ: natri trong chế độ ăn, căng thẳng) dường như chỉ ảnh hưởng đến những người có cơ địa dễ mắc bệnh",01_tanghuyetap.txt
32,Cơ chế phụ thuộc renin,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Bệnh nhu mô thận mạn tính,Disease,Chưa có,,Tăng huyết áp do bệnh nhu mô thận mạn tính (cao huyết áp do thận) là kết quả của việc kết hợp cơ chế phụ thuộc renin,01_tanghuyetap.txt
33,Cơ chế phụ thuộc thể tích tuần hoàn,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Bệnh nhu mô thận mạn tính,Disease,Chưa có,,Tăng huyết áp do bệnh nhu mô thận mạn tính (cao huyết áp do thận) là kết quả của việc kết hợp cơ chế phụ thuộc renin và cơ chế phụ thuộc thể tích tuần hoàn.,01_tanghuyetap.txt
34,Cường aldosteron nguyên phát,Cause,C1384514,,Là nguyên nhân gây ra,Nguyên nhân thứ phát gây tăng huyết áp,Cause,C0155616,,Tăng huyết áp đã xác định được nguyên nhân (tăng huyết áp thứ phát) thường là do cường aldosteron nguyên phát.,01_tanghuyetap.txt
35,Cường aldosteron nguyên phát,Cause,C1384514,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát,01_tanghuyetap.txt
36,Cường aldosteron nguyên phát,Cause,C1384514,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,Tăng huyết áp đã xác định được nguyên nhân (tăng huyết áp thứ phát) thường là do cường aldosteron nguyên phát.,01_tanghuyetap.txt
37,Di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,Tăng huyết áp,Disease,C0020538,,Khiếm khuyết trong vận chuyển natri có thể xảy ra ở trẻ có huyết áp bình thường nhưng có cha mẹ bị tăng huyết áp.,01_tanghuyetap.txt
38,Di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,DiseaseSubtype,C0085580,,Di truyền là một yếu tố ảnh hưởng,01_tanghuyetap.txt
39,ECG,Test,C1623258,,Dùng để chẩn đoán,Phì đại thất trái,DiseaseSubtype,C0149721,,"Điện thế QRS tăng cao, có hoặc không có bằng chứng về thiếu máu cục bộ, có thể xảy ra sau đó và biểu hiện phì đại thất trái (LVH).",01_tanghuyetap.txt
40,Giáo dục bệnh nhân,Treatment,C0030688,,Điều trị,Tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,"Giáo dục, với sự đồng cảm và hỗ trợ, là điều cần thiết để điều trị thành công.",01_tanghuyetap.txt
41,Glucose huyết tương lúc đói,Test,C0583513,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,glucose huyết tương lúc đói,01_tanghuyetap.txt
