STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
2,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
3,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"Trong những năm gần đây, đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD hoặc suy giảm chức năng phổi ở các quần thể được lựa chọn, nhưng không có kết quả nào được chứng minh là có hậu quả như alpha-1 antitrypsin.",01_copd.txt
4,Bóng khí > 1 cm,Measurement,Chưa có,Thông số: Khoảng thấu quang bóng khí; Giá trị: >> 1 cm,Là đặc điểm hình ảnh của,Khí phế thũng,DiseaseSubtype,C0034067,,"bóng khí (tức là, khoảng thấu quang > 1 cm bao quanh bởi đường cong, viền mỏng)",01_copd.txt
5,Bạch cầu trung tính,Mechanism,C0027950,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"Tổn thương oxy hóa do bạch cầu trung tính gây ra, giải phóng các peptide thần kinh chức năng (ví dụ: bomesin) và giảm mức độ yếu tố tăng trưởng nội mô mạch máu (VEGF) có thể góp phần phá hủy nhu mô phổi theo chương trình.",01_copd.txt
6,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Có triệu chứng cơ năng,Ho đờm,Symptom,C0239134,,Triệu chứng là ho đờm và khó thở phát triển qua nhiều năm,01_copd.txt
7,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Có triệu chứng cơ năng,Đau đầu buổi sáng,Symptom,C0581880,,Đau đầu buổi sáng phát triển trong các chứng bệnh nặng hơn,01_copd.txt
8,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Bệnh tim,Disease,C0018799,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
9,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Loãng xương,Complication,C0029456,,Các rối loạn cùng tồn tại hoặc phức tạp khác ảnh hưởng xấu đến chất lượng cuộc sống và/hoặc thời gian sống thêm bao gồm loãng xương,01_copd.txt
10,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
