id,name,normalized_name,entity_type,umls_cui,umls_sty,formatted_attributes,attributes,source_document,created_at
CUI:C0686732,Nhân tố môi trường,Nhân tố môi trường,Cause,C0686732,Qualitative Concept,,{},henphequan.txt,2026-08-21T07:13:18.189Z
CUI:C2350439,hợp chất hữu cơ dễ bay hơi,Hợp chất hữu cơ dễ bay hơi,Cause,C2350439,Organic Chemical,,{},henphequan.txt,2026-08-21T07:13:19.783Z
CUI:C0008209,khí clo,Khí clo,Cause,C0008209,Hazardous or Poisonous Substance,,{},henphequan.txt,2026-08-21T07:13:19.636Z
CUI:C0028167,nitơ oxit,Nitơ oxit,Cause,C0028167,Inorganic Chemical,,{},henphequan.txt,2026-08-21T07:13:19.716Z
CUI:C0276447,rhinovirus,Rhinovirus,Cause,C0276447,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:20.895Z
CUI:C0035236,virus hợp bào hô hấp,Virus hợp bào hô hấp,Cause,C0035236,Virus,,{},henphequan.txt,2026-08-21T07:13:20.813Z
CUI:C0030393,virus parainfluenza,Virus parainfluenza,Cause,C0030393,Virus,,{},henphequan.txt,2026-08-21T07:13:20.96Z
CUI:C0001127,Nhiễm toan hô hấp,Nhiễm toan hô hấp,Complication,C0001127,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:22.414Z
CUI:C0024032,cân nặng khi sinh thấp,Cân nặng khi sinh thấp,Complication,C0024032,Finding,,{},henphequan.txt,2026-08-21T07:13:37.34Z
CUI:C0347950,cơn hen,Cơn hen,Complication,C0347950,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:34.114Z
Complication:cơn hen sau điều trị,cơn hen sau khi điều trị,Cơn hen sau điều trị,Complication,,,,{},henphequan.txt,2026-08-21T07:13:40.228Z
CUI:C0018790,ngừng tuần hoàn,Ngừng tuần hoàn,Complication,C0018790,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:22.637Z
CUI:C3714514,nhiễm khuẩn,Nhiễm khuẩn,Complication,C3714514,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:33.627Z
CUI:C0151526,sinh non,Sinh non,Complication,C0151526,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:37.275Z
CUI:C1145670,suy hô hấp,Suy hô hấp,Complication,C1145670,Disease or Syndrome,,{},henphequan.txt,2026-08-21T03:24:18.564Z
CUI:C0220981,toan chuyển hóa,Toan chuyển hóa,Complication,C0220981,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:22.493Z
CUI:C0032326,tràn khí màng phổi,Tràn khí màng phổi,Complication,C0032326,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:25.73Z
CUI:C0025062,tràn khí trung thất,Tràn khí trung thất,Complication,C0025062,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:25.793Z
CUI:C0559546,tác dụng phụ,Tác dụng phụ,Complication,C0559546,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:24.873Z
CUI:C0569970,tác dụng điều trị bất lợi,Tác dụng phụ của thuốc,Complication,C0569970,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:31.536Z
CUI:C2717792,tái cấu trúc,Tái cấu trúc đường thở,Complication,C2717792,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:31.091Z
CUI:C1306577,tử vong,Tử vong,Complication,C1306577,Disease or Syndrome,,{},henphequan.txt,2026-08-20T15:59:14.653Z
CUI:C0277604,tử vong trước sinh,Tử vong trước sinh,Complication,C0277604,Finding,,{},henphequan.txt,2026-08-21T07:13:37.196Z
CUI:C0004144,xẹp phổi,Xẹp phổi,Complication,C0004144,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:29.138Z
CUI:C0340061,đợt cấp,Đợt cấp hen,Complication,C0340061,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:34.03Z
CUI:C2919376,đợt cấp,Đợt cấp,Complication,C2919376,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:24.733Z
CUI:C3872851,đợt cấp nặng đe dọa đến tính mạng,Đợt cấp hen suyễn nặng,Complication,C3872851,Finding,,{},henphequan.txt,2026-08-21T07:13:23.396Z
CUI:C0017168,Bệnh trào ngược dạ dày thực quản (GERD),Bệnh trào ngược dạ dày thực quản (GERD),Disease,C0017168,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:21.518Z
