source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
Acetaminophen,Drug,C0000970,,TREATS,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,0.99,2,2,Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen,henphequan.txt
Adipokine,Mechanism,C1955907,,UNDERLIES,Hen suyễn,Disease,C0004096,,0.96,2,2,"Các chất trung gian chính liên quan đến các nghiên cứu quan sát và nghiên cứu cắt ngang bao gồm leptin, adipokine và Il-6 huyết thanh.",henphequan.txt
Aspirin,Drug,C0004057,,TREATS,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,0.99,2,2,Việc điều trị đầu tiên cho hen nhạy cảm aspirin là tránh aspirin và NSAID khác.,henphequan.txt
Azithromycin,Drug,C0052796,,TREATS,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,0.8,1,2,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
Azithromycin,Drug,C0052796,,TREATS,Chồng chéo Hen suyễn-COPD,Disease,C4038730,,0.85,1,2,ACO đại diện cho một nhóm nhỏ bệnh nhân hen suyễn (từ 15 đến 35%) và COPD (từ 10 đến 40%) có thể đáp ứng với các loại thuốc không thường được chỉ định cho tình trạng rối loạn tương ứng với chẩn đoán chính của bệnh nhân (ví dụ: kê đơn roflimulast/azithromycin,henphequan.txt
Azithromycin,Drug,C0052796,,TREATS,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.8,1,2,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
Azithromycin,Drug,C0052796,,TREATS,Hạn chế luồng khí,Sign,C0024117,,0.8,1,2,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
Bisphosphonat,Drug,C0012544,,TREATS,Loãng xương,Disease,C0029456,,0.99,2,2,"Bệnh nhân cần dùng corticosteroid hít, đặc biệt là những người có các yếu tố nguy cơ gây loãng xương, có thể cần dùng thêm các biện pháp để bảo vệ mật độ xương (ví dụ: chất bổ sung canxi và vitamin D, bisphosphonat).",henphequan.txt
Béo phì,RiskFactor,C0028754,,INCREASES_RISK_OF,Hen suyễn,Disease,C0004096,,0.99,4,2,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
Bạch cầu ái toan,Mechanism,C0014467,,PART_OF_MECHANISM,Đáp ứng miễn dịch T2,Mechanism,,,0.95,1,2,Đáp ứng T2 tiền viêm được đặc trưng bởi sự tăng trưởng và kích hoạt quá trình sản sinh bạch cầu ái toan và IgE.,henphequan.txt
Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,INCREASES_RISK_OF,Hen suyễn,Disease,C0004096,,0.99,2,2,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
Bệnh trào ngược dạ dày thực quản (GERD),Disease,C0017168,,INCREASES_RISK_OF,Hen suyễn,Disease,C0004096,,0.9,1,2,GERD là một tác nhân thông thường trong một số bệnh nhân hen,henphequan.txt
Bộ lọc không khí HEPA,Treatment,C1881047,,TREATS,Bệnh hen do tập luyện,Disease,C0004099,,0.8,1,2,Bộ lọc không khí hạt có hiệu suất cao (HEPA) có thể làm giảm các triệu chứng,henphequan.txt
Bộ lọc không khí HEPA,Treatment,C1881047,,TREATS,Hen do gắng sức,DiseaseSubtype,C0004099,,0.8,1,2,Bộ lọc không khí hạt có hiệu suất cao (HEPA) có thể làm giảm các triệu chứng,henphequan.txt
Canxi và Vitamin D,Treatment,C0006730,,TREATS,Loãng xương,Disease,C0029456,,0.99,2,2,"Bệnh nhân cần dùng corticosteroid hít, đặc biệt là những người có các yếu tố nguy cơ gây loãng xương, có thể cần dùng thêm các biện pháp để bảo vệ mật độ xương (ví dụ: chất bổ sung canxi và vitamin D, bisphosphonat).",henphequan.txt
Celecoxib,Drug,C0538927,,TREATS,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,0.99,2,2,"Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen, choline magnesium salicylate, hoặc NSAID có tính chọn lọc cao như celecoxib khi họ cần thuốc giảm đau.",henphequan.txt
Choline magnesium salicylate,Drug,C2930097,,TREATS,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,0.99,2,2,"Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen, choline magnesium salicylate, hoặc NSAID có tính chọn lọc cao như celecoxib khi họ cần thuốc giảm đau.",henphequan.txt
Chất gây dị ứng trong gia đình,RiskFactor,,,INCREASES_RISK_OF,Hen suyễn,Disease,C0004096,,0.9,1,2,"Các bằng chứng cho thấy có sự liên quan của các chất gây dị ứng trong gia đình (ví dụ: bụi, gián, vật nuôi) và các chất gây dị ứng môi trường khác đối với sự phát triển bệnh ở trẻ em và người lớn.",henphequan.txt
"Chế độ ăn thiếu hụt vitamin C, E và axit béo omega-3",RiskFactor,,,INCREASES_RISK_OF,Hen suyễn,Disease,C0004096,,0.97,2,2,"Chế độ ăn ít vitamin C, E và axit béo omega-3 có liên quan đến hen suyễn",henphequan.txt
Chỉ số huyết áp,Measurement,C0005824,Thông số: Huyết áp,DEFINES_THRESHOLD_FOR,Tăng huyết áp,Disease,C0020538,,0.99,2,2,Không giống như tăng huyết áp (ví dụ: trong đó một chỉ số [HA] xác định mức độ nghiêm trọng của rối loạn và hiệu quả điều trị),henphequan.txt
Chỉnh hình phế quản bằng nhiệt,Treatment,C3854686,,TREATS,Hen nặng không kiểm soát,DiseaseSubtype,C3862402,,0.99,2,2,Tiêu chuẩn để xem xét chỉnh hình phế quản bằng nhiệt bao gồm bệnh hen nặng không được kiểm soát,henphequan.txt
Chức năng hô hấp,Test,C0035227,,DIAGNOSES,Suy giảm chức năng phổi,DiseaseSubtype,,,0.99,2,2,Nguy cơ được đánh giá bởi các đặc điểm lâu dài về chức năng hô hấp và các lâm sàng như,henphequan.txt
