id,name,normalized_name,entity_type,umls_cui,umls_sty,attributes,source_document,created_at
CUI:C0037315,Ngưng thở khi ngủ,Ngưng thở khi ngủ,Cause,C0037315,Disease or Syndrome / Pathologic Function,{},hypertension_sample.txt,2026-08-20T05:13:04.234Z
CUI:C1841992,bệnh nhu mô thận,Bệnh nhu mô thận,Cause,C1841992,Disease or Syndrome / Pathologic Function,{},hypertension_sample.txt,2026-08-20T04:46:15.209Z
CUI:C0403447,bệnh nhu mô thận,Bệnh nhu mô thận,Cause,C0403447,Disease or Syndrome / Pathologic Function,{},hypertension_sample.txt,2026-08-20T04:56:31.763Z
CUI:C1561643,bệnh thận mạn tính,Bệnh thận mạn tính,Cause,C1561643,Disease or Syndrome / Pathologic Function,{},hypertension_sample.txt,2026-08-20T05:13:04.293Z
CUI:C0020438,cường aldosteron nguyên phát,Cường aldosteron nguyên phát,Cause,C0020438,Disease or Syndrome / Pathologic Function,{},hypertension_sample.txt,2026-08-20T04:46:15.378Z
CUI:C0035067,hẹp động mạch thận,Hẹp động mạch thận,Cause,C0035067,Disease or Syndrome / Pathologic Function,{},hypertension_sample.txt,2026-08-20T04:46:15.304Z
CUI:C0027051,Nhồi máu cơ tim,Nhồi máu cơ tim,Complication,C0027051,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:46:16.029Z
CUI:C0264716,Suy tim mạn tính,Suy tim mạn tính,Complication,C0264716,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:46:16.117Z
CUI:C0018802,Suy tim mạn tính,Suy tim mạn tính,Complication,C0018802,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:56:32.994Z
CUI:C0038454,Đột quỵ,Đột quỵ,Complication,C0038454,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:32:57.127Z
CUI:C0020538,Tăng huyết áp,Tăng huyết áp,Disease,C0020538,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:32:56.961Z
CUI:C4073145,Tăng huyết áp giai đoạn 1,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C4073145,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:46:14.81Z
CUI:C0085580,tăng huyết áp nguyên phát,Tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:46:15.051Z
CUI:C0155615,tăng huyết áp thứ phát,Tăng huyết áp thứ phát,DiseaseSubtype,C0155615,Disease or Syndrome,{},hypertension_sample.txt,2026-08-20T04:46:15.146Z
CUI:C0006684,Thuốc chẹn kênh canxi,Thuốc chẹn kênh canxi,DrugClass,C0006684,Pharmacologic Substance,{},hypertension_sample.txt,2026-08-20T04:46:16.376Z
CUI:C0139702,Thuốc chẹn thụ thể angiotensin (ARB),ARB,DrugClass,C0139702,Pharmacologic Substance,{},hypertension_sample.txt,2026-08-20T04:46:16.277Z
CUI:C0039864,Thuốc lợi tiểu thiazide,Thuốc lợi tiểu thiazide,DrugClass,C0039864,Pharmacologic Substance,{},hypertension_sample.txt,2026-08-20T04:46:16.44Z
CUI:C0003015,Thuốc ức chế men chuyển (ACE inhibitor),ACE inhibitor,DrugClass,C0003015,Pharmacologic Substance,{},hypertension_sample.txt,2026-08-20T04:46:16.177Z
Guideline:acc/aha,ACC/AHA,ACC/AHA,Guideline,,,{},hypertension_sample.txt,2026-08-20T04:46:14.712Z
CUI:C3839848,ACC/AHA,ACC/AHA,Guideline,C3839848,Intellectual Product,{},hypertension_sample.txt,2026-08-20T04:56:31.261Z
Measurement:130/80 mmhg,130/80 mmHg,130/80 mmHg,Measurement,,,"{""systolic"": 130, ""diastolic"": 80, ""unit"": ""mmHg""}",hypertension_sample.txt,2026-08-20T04:46:14.95Z
Measurement:huyết áp tâm thu ≥ 130 mmhg,≥ 130 mmHg,Huyết áp tâm thu ≥ 130 mmHg,Measurement,,,"{""systolic"": 130, ""unit"": ""mmHg""}",hypertension_sample.txt,2026-08-20T05:13:03.853Z
Measurement:huyết áp tâm trương ≥ 80 mmhg,≥ 80 mm Hg,Huyết áp tâm trương ≥ 80 mmHg,Measurement,,,"{""diastolic"": 80, ""unit"": ""mmHg""}",hypertension_sample.txt,2026-08-20T05:13:03.94Z
Mechanism:giữ nước,giữ nước,Giữ nước,Mechanism,,,{},hypertension_sample.txt,2026-08-20T04:56:32.159Z
Mechanism:tăng tái hấp thu natri,tăng tái hấp thu natri,Tăng tái hấp thu natri,Mechanism,,,{},hypertension_sample.txt,2026-08-20T04:56:32.06Z
Mechanism:tăng tái hấp thu natri và giữ nước,tăng tái hấp thu natri và giữ nước,Tăng tái hấp thu natri và giữ nước,Mechanism,,,{},hypertension_sample.txt,2026-08-20T04:46:15.485Z
CUI:C0015392,Mắt,Mắt,Organ,C0015392,"Body Part, Organ, or Organ Component",{},hypertension_sample.txt,2026-08-20T04:46:15.864Z
CUI:C0006104,Não,Não,Organ,C0006104,"Body Part, Organ, or Organ Component",{},hypertension_sample.txt,2026-08-20T04:46:15.746Z
CUI:C0022646,Thận,Thận,Organ,C0022646,"Body Part, Organ, or Organ Component",{},hypertension_sample.txt,2026-08-20T04:46:15.805Z
CUI:C0018787,Tim,Tim,Organ,C0018787,"Body Part, Organ, or Organ Component",{},hypertension_sample.txt,2026-08-20T04:46:15.682Z
CUI:C0232804,chức năng thận,Chức năng thận,Organ,C0232804,"Body Part, Organ, or Organ Component",{},hypertension_sample.txt,2026-08-20T04:46:16.564Z
CUI:C0022674,ống thận,Ống thận,Organ,C0022674,"Body Part, Organ, or Organ Component",{},hypertension_sample.txt,2026-08-20T04:46:15.58Z
CUI:C0011849,bệnh nhân đái tháo đường,Bệnh nhân đái tháo đường,PatientGroup,C0011849,Population Group / Age Group,{},hypertension_sample.txt,2026-08-20T04:46:16.505Z
