STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Amoxicillin,Drug,C0002645,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
2,Amoxicillin/clavulanate,Drug,C0054066,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
3,Amoxicillin/clavulanate,Drug,C0054066,,Điều trị,Đợt cấp bệnh phổi,Disease,Chưa có,,Bệnh nhân có thể được hướng dẫn để nhận ra sự thay đổi đờm từ bình thường sang mủ như là một dấu hiệu của đợt cấp sắp tới và bắt đầu một đợt điều trị kháng sinh từ 10 đến 14 ngày.,03_dieutridotcap.txt
4,Azithromycin,Drug,C0052796,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Một loại kháng sinh thay thế là azithromycin.,03_dieutridotcap.txt
5,COPD giai đoạn ổn định,DiseaseSubtype,Chưa có,,Là phân loại / thể bệnh của,Bệnh phổi tắc nghẽn mạn tính (COPD),Disease,C0024117,,Xử trí bệnh phổi tắc nghẽn mạn tính (COPD) bao gồm điều trị bệnh mạn tính ổn định và điều trị đợt cấp.,03_dieutridotcap.txt
6,COPD nặng,DiseaseSubtype,C0730607,,Là phân loại / thể bệnh của,Bệnh phổi tắc nghẽn mạn tính (COPD),Disease,C0024117,,Đối với những bệnh nhân mắc COPD nặng,03_dieutridotcap.txt
7,Cephalosporin thế hệ thứ hai,DrugClass,C0304319,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
8,Corticosteroid,Drug,C0001617,,Điều trị,Hẹp đường dẫn khí,Mechanism,C0001883,,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
9,Corticosteroid,Drug,C0001617,,Điều trị,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
10,Doxycycline,Drug,C0013090,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
