id,name,normalized_name,entity_type,umls_cui,umls_sty,formatted_attributes,attributes,source_document,created_at
CUI:C5203676,SARS-CoV-2,SARS-CoV-2,Cause,C5203676,Virus,,{},01_daithaoduong.txt,2026-08-20T15:59:18.779Z
CUI:C0001403,bệnh Addison,Bệnh Addison,Cause,C0001403,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:59:11.596Z
CUI:C0019045,bệnh huyết sắc tố,Bệnh huyết sắc tố,Cause,C0019045,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:58.592Z
CUI:C0010674,bệnh xơ nang,Bệnh xơ nang,Cause,C0010674,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:58.444Z
CUI:C0010247,coxsackievirus,Coxsackievirus,Cause,C0010247,Virus,,{},01_daithaoduong.txt,2026-08-20T15:58:56.682Z
CUI:C0010825,cytomegalovirus,Cytomegalovirus,Cause,C0010825,Virus,,{},01_daithaoduong.txt,2026-08-20T15:59:18.662Z
CUI:C0152020,liệt dạ dày,Liệt dạ dày,Cause,C0152020,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:59:11.537Z
CUI:C3714514,nhiễm trùng,Nhiễm trùng,Cause,C3714514,Pathologic Function,,{},01_daithaoduong.txt,2026-08-20T15:58:55.107Z
CUI:C0035366,retrovirus,Retrovirus,Cause,C0035366,Virus,,{},01_daithaoduong.txt,2026-08-20T15:59:18.851Z
CUI:C0014644,vi rút Epstein-Barr,Vi rút Epstein-Barr,Cause,C0014644,Virus,,{},01_daithaoduong.txt,2026-08-20T15:59:18.721Z
CUI:C0035924,vi rút rubella,Vi rút Rubella,Cause,C0035924,Virus,,{},01_daithaoduong.txt,2026-08-20T15:59:18.534Z
CUI:C0030305,viêm tụy,Viêm tụy,Cause,C0030305,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:58.509Z
CUI:C0015674,Rối loạn chức năng miễn dịch,Rối loạn chức năng miễn dịch,Complication,C0015674,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:55.468Z
CUI:C0001925,albumin niệu,Albumin niệu,Complication,C0001925,Finding,prevalence: 6% đến 10%,"{""prevalence"": ""6% đến 10%""}",01_daithaoduong.txt,2026-08-20T15:58:54.662Z
CUI:C0342257,biến chứng của bệnh tiểu đường,Diabetes Complications,Complication,C0342257,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:59.868Z
CUI:C0920165,biến chứng mạch máu,Biến chứng mạch máu,Complication,C0920165,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T14:17:13.593Z
CUI:C2673520,biến chứng vi mạch,Biến chứng vi mạch,Complication,C2673520,Finding,,{},01_daithaoduong.txt,2026-08-20T15:59:12.496Z
CUI:C0007222,bệnh lý tim mạch,Bệnh lý tim mạch,Complication,C0007222,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:54.266Z
CUI:C0042373,bệnh mạch máu,Bệnh mạch máu,Complication,C0042373,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:53.762Z
CUI:C0011882,bệnh thần kinh,Bệnh thần kinh do đái tháo đường,Complication,C0011882,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:59:05.489Z
CUI:C0031117,bệnh thần kinh ngoại vi,Bệnh thần kinh ngoại vi,Complication,C0031117,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:53.816Z
CUI:C0022658,bệnh thận,Bệnh thận,Complication,C0022658,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:58:53.875Z
CUI:C0035309,bệnh võng mạc,Bệnh võng mạc,Complication,C0035309,Disease or Syndrome,prevalence: 6% đến 10%,"{""prevalence"": ""6% đến 10%""}",01_daithaoduong.txt,2026-08-20T14:17:10.418Z
CUI:C0011884,bệnh võng mạc,Bệnh võng mạc do đái tháo đường,Complication,C0011884,Disease or Syndrome,,{},01_daithaoduong.txt,2026-08-20T15:59:05.552Z
