STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Bệnh mạch máu thận,Disease,C0268790,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,Bệnh mạch máu thận là một trong những nguyên nhân phổ biến nhất gây tăng huyết áp,04_tanghuyetapdobenhlymachthan.txt
2,Bệnh mạch thận,Cause,C0020545,,Có dấu hiệu thực thể,Tiếng thổi hai thì ở vùng thượng vị,Sign,Chưa có,,"Tiếng thổi hai thì ở vùng thượng vị, thường lan sang bên và đôi khi lan ra sau lưng thường là bệnh lý, nhưng triệu chứng này chỉ xuất hiện ở 50% bệnh nhân với loạn sản xơ cơ và hiếm gặp ở những bệnh nhân có xơ vữa động mạch thận.",04_tanghuyetapdobenhlymachthan.txt
3,Bệnh mạch thận,Cause,C0020545,,Có dấu hiệu thực thể,Tiếng thổi động mạch thận,Sign,Chưa có,,Tiếng thổi động mạch thận có thể nghe thấy ở < 50% bệnh nhân.,04_tanghuyetapdobenhlymachthan.txt
4,Bệnh mạch thận,Cause,C0020545,,Có thể gây ra,Phù phổi,Disease,C0034063,,"các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
5,Bệnh mạch thận,Cause,C0020545,,Có thể gây ra,Suy tim cấp,Complication,C0264714,,"các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
6,Chẩn đoán hình ảnh,Test,C0011923,,Giúp phát hiện,Kích thước thận không đối xứng > 1cm,Measurement,Chưa có,Thông số: Kích thước thận không đối xứng; Giá trị: >1 cm,Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh,04_tanghuyetapdobenhlymachthan.txt
7,Chẩn đoán hình ảnh,Test,C0011923,,Hỗ trợ gợi ý,Bệnh mạch thận,Cause,C0020545,,"Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh, và các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
8,Chẩn đoán hình ảnh,Test,C0011923,,Dùng để chẩn đoán,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,"Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh, và các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
9,Chẩn đoán hình ảnh mạch thận,Test,C0202930,,Dùng để chẩn đoán,Bệnh mạch thận,Cause,C0020545,,Chụp động mạch thận là kiểm tra có tính chẩn đoán xác định,04_tanghuyetapdobenhlymachthan.txt
10,Chẩn đoán hình ảnh mạch thận,Test,C0202930,,Dùng để chẩn đoán,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,Chụp động mạch thận là kiểm tra có tính chẩn đoán xác định,04_tanghuyetapdobenhlymachthan.txt
11,Chụp CT mạch,Test,C1536105,,Dùng để chẩn đoán,Bệnh mạch thận,Cause,C0020545,,"Chẩn đoán bằng cách khám thực thể và chẩn đoán hình ảnh thận bằng siêu âm doppler, chụp CT mạch máu hoặc chụp cộng hưởng từ mạch máu.",04_tanghuyetapdobenhlymachthan.txt
12,Chụp CT mạch,Test,C1536105,,Dùng để chẩn đoán,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,"Chẩn đoán bằng cách khám thực thể và chẩn đoán hình ảnh thận bằng siêu âm doppler, chụp CT mạch máu hoặc chụp cộng hưởng từ mạch máu.",04_tanghuyetapdobenhlymachthan.txt
