STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Abatacept,Drug,C1619966,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Antithymocyte globulin (ATG), thuốc ức chế TNF-alpha (yếu tố hoại tử khối u-alpha) và abatacept (CTLA-4-Ig) đã cho thấy một số hứa hẹn trong việc bảo tồn chức năng tế bào beta ở bệnh đái tháo đường loại 1 mới khởi phát",01_daithaoduong.txt
2,Adipokine,Mechanism,C1955907,,Làm thay đổi / điều biến,Đề kháng insulin,Mechanism,C0021655,,"Mô mỡ cũng có chức năng như một cơ quan nội tiết, giải phóng nhiều yếu tố (adipocytokine) có lợi (adiponectin) và bất lợi (yếu tố hoại tử khối u-alpha, interleukin-6, leptin, resistin) ảnh hưởng đến quá trình chuyển hóa glucose.",01_daithaoduong.txt
3,Antithymocyte globulin,Drug,C0003442,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Antithymocyte globulin (ATG), thuốc ức chế TNF-alpha (yếu tố hoại tử khối u-alpha) và abatacept (CTLA-4-Ig) đã cho thấy một số hứa hẹn trong việc bảo tồn chức năng tế bào beta ở bệnh đái tháo đường loại 1 mới khởi phát",01_daithaoduong.txt
4,Azathioprine,Drug,C0004482,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Các phương pháp điều trị khác nhắm vào đáp ứng viêm tự miễn, bao gồm azathioprine, corticosteroid và cyclosporine, giúp làm giảm bệnh tiểu đường loại 1 sớm ở một số bệnh nhân",01_daithaoduong.txt
5,Biến chứng mạch máu,Complication,C0920165,,Gây tổn thương cơ quan,Mạch máu lớn,Organ,C0225991,,"Nhiều năm kiểm soát tăng đường huyết kém dẫn tới nhiều biến chứng mạch máu, ảnh hưởng tới mạch máu nhỏ (vi mạch), mạch lớn (mạch máu lớn), hoặc cả hai.",01_daithaoduong.txt
6,Biến chứng mạch máu,Complication,C0920165,,Gây tổn thương cơ quan,Mạch máu nhỏ,Organ,C0225988,,"Nhiều năm kiểm soát tăng đường huyết kém dẫn tới nhiều biến chứng mạch máu, ảnh hưởng tới mạch máu nhỏ (vi mạch), mạch lớn (mạch máu lớn), hoặc cả hai.",01_daithaoduong.txt
7,Bài tập sức đề kháng,Treatment,C0872279,,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Cả bài tập thể dục nhịp điệu và bài tập sức đề kháng đều đã được chứng minh là cải thiện việc kiểm soát đường huyết ở bệnh tiểu đường loại 2,01_daithaoduong.txt
8,Bài tập thể dục nhịp điệu,Treatment,C0001701,,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Cả bài tập thể dục nhịp điệu và bài tập sức đề kháng đều đã được chứng minh là cải thiện việc kiểm soát đường huyết ở bệnh tiểu đường loại 2,01_daithaoduong.txt
9,Béo phì,RiskFactor,C0028754,,Làm tăng nguy cơ mắc,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,"Hầu hết trẻ em mắc bệnh tiểu đường loại 2 đều bị béo phì, vì vậy việc điều chỉnh lối sống là nền tảng của liệu pháp điều trị.",01_daithaoduong.txt
10,Bơm insulin,Treatment,C3504188,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Trẻ em với đái tháo đường loại 1 đòi hỏi bổ sung thay thế insulin sinh lí như người lớn, và phác đồ điều trị tương tự, gồm bơm insulin.",01_daithaoduong.txt
11,Bơm insulin vòng kín,Treatment,Chưa có,,Điều trị,Hạ đường huyết,DiseaseSubtype,C0020615,,liệu pháp bơm insulin vòng kín tăng cường cảm biến hoặc hỗn hợp là những công cụ hữu ích ở những người dao động giữa hạ đường huyết và tăng đường huyết.,01_daithaoduong.txt
12,Bơm insulin vòng kín,Treatment,Chưa có,,Điều trị,Tăng đường huyết,DiseaseSubtype,C0020456,,liệu pháp bơm insulin vòng kín tăng cường cảm biến hoặc hỗn hợp là những công cụ hữu ích ở những người dao động giữa hạ đường huyết và tăng đường huyết.,01_daithaoduong.txt
13,Bệnh Addison,Cause,C0001403,,Là nguyên nhân gây ra,Đái tháo đường không ổn định,DiseaseSubtype,C0342302,,"Nguyên nhân khác khiến nồng độ glucose trong huyết tương không ổn định gồm nhiễm trùng, liệt dạ dày (dẫn tới rối loạn hấp thu carbonhydrate) và bệnh nội tiết (ví dụ, bệnh Addison).",01_daithaoduong.txt
14,Bệnh huyết sắc tố,Cause,C0019045,,Gây tổn thương cơ quan,Tuyến tụy,Organ,C0030274,,"Các tình trạng ảnh hưởng đến tuyến tụy (ví dụ: bệnh xơ nang, viêm tụy, bệnh huyết sắc tố, cắt bỏ toàn thân)",01_daithaoduong.txt
15,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Là cơ chế sinh bệnh học của,Bệnh mạch máu lớn,Disease,Chưa có,,Bệnh mạch máu lớn liên quan xơ vữa động mạch của các mạch lớn,01_daithaoduong.txt
16,Bệnh vi mạch,DiseaseSubtype,C0206064,,Dẫn đến biến chứng,Loét,Complication,C0041582,,"Bệnh vi mạch cũng có thể làm giảm khả năng lành vết thương, do đó ngay cả những vết rách nhỏ trên da cũng có thể phát triển thành vết loét sâu hơn",01_daithaoduong.txt
17,Bệnh xơ nang,Cause,C0010674,,Gây tổn thương cơ quan,Tuyến tụy,Organ,C0030274,,"Các tình trạng ảnh hưởng đến tuyến tụy (ví dụ: bệnh xơ nang, viêm tụy, bệnh huyết sắc tố, cắt bỏ toàn thân)",01_daithaoduong.txt
18,Can thiệp tâm lý xã hội,Treatment,C5392103,,Điều trị,Rối loạn ăn uống,Disease,C0013473,,"Điều trị thường liên quan đến giám sát y tế chuyên sâu kết hợp với can thiệp tâm lý xã hội (ví dụ, cố vấn hoặc nhóm hỗ trợ), liệu pháp cá nhân hoặc gia đình và thuốc tâm thần khi được chỉ định.",01_daithaoduong.txt
19,Carbohydrate,Treatment,C0007004,,Điều trị,Hạ đường huyết,DiseaseSubtype,C0020615,,Bệnh nhân đã có tiền sử triệu chứng hạ đường huyết khi tập luyện nên được khuyên kiểm tra glucose máu và ăn carbonhydrate,01_daithaoduong.txt
20,Carbohydrate-to-insulin ratio,Test,C5230552,,Đo lường chỉ số,Tỷ lệ Carbohydrate-to-Insulin (CIR): 15g : 1 đơn vị,Measurement,Chưa có,Thông số: Tỷ lệ Carbohydrate-to-Insulin (CIR); Giá trị: 5-15 g,"Ví dụ: nếu sử dụng tỷ lệ carbohydrate-to-insulin (CIR) là 15 gram:1 đơn vị, bệnh nhân sẽ cần 1 đơn vị insulin tác dụng nhanh cho mỗi 15 g carbohydrate trong bữa ăn.",01_daithaoduong.txt
21,Chương trình giáo dục bệnh tiểu đường,Treatment,C1532353,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Các chương trình giáo dục chính thức về bệnh tiểu đường, thường được thực hiện bởi các y tá tiểu đường và chuyên gia dinh dưỡng, thường rất hiệu quả và đã được chứng minh là cải thiện kết quả của bệnh tiểu đường.",01_daithaoduong.txt
22,Chế độ ăn kiêng,Treatment,C0012159,,Điều trị,Đái tháo đường,Disease,C0011849,,"Điều trị bằng chế độ ăn kiêng, tập thể dục và dùng thuốc làm giảm lượng glucose, bao gồm insulin, thuốc hạ đường huyết đường uống và thuốc tiêm không chứa insulin.",01_daithaoduong.txt
23,Chế độ ăn kiêng,Treatment,C0012159,,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Một số bệnh nhân mắc bệnh tiểu đường loại 2 có thể tránh hoặc ngừng điều trị bằng thuốc nếu họ có thể duy trì nồng độ đường huyết chỉ bằng chế độ ăn kiêng và tập thể dục.,01_daithaoduong.txt
24,Chỉ số khối cơ thể (BMI) nguy cơ cao: >= 35 kg/m2,Measurement,Chưa có,Thông số: Chỉ số khối cơ thể (BMI); Giá trị: >=35,Xác định ngưỡng chẩn đoán cho,Đái tháo đường,Disease,C0011849,,"Thuốc này có thể được xem xét nếu chế độ ăn kiêng và lối sống không thành công, đặc biệt ở những bệnh nhân có nguy cơ mắc bệnh tiểu đường cao nhất (chỉ số khối cơ thể >= 35 hoặc có tiền sử tiểu đường thai kỳ) (7, 8).",01_daithaoduong.txt
25,Continuous Glucose Monitoring,Test,C4523945,,Đo lường chỉ số,Thời gian đường huyết trong khoảng mục tiêu (TIR 14 ngày): > 70%,Measurement,Chưa có,Thông số: Thời gian đường huyết trong khoảng mục tiêu (TIR); Giá trị: 70 %,"Với theo dõi đường huyết liên tục (CGM), thời gian 14 ngày trong khoảng (TIR) > 70%",01_daithaoduong.txt
26,Corticosteroid,DrugClass,C0001617,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Các phương pháp điều trị khác nhắm vào đáp ứng viêm tự miễn, bao gồm azathioprine, corticosteroid và cyclosporine, giúp làm giảm bệnh tiểu đường loại 1 sớm ở một số bệnh nhân",01_daithaoduong.txt
27,Coxsackievirus,Cause,C0010247,,Là nguyên nhân gây ra,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Một số loại vi rút (bao gồm coxsackievirus, vi rút rubella, cytomegalovirus, vi rút Epstein-Barr, SARS-CoV-2 (1, 2) và retrovirus) có liên quan đến khởi phát của bệnh tiểu đường loại 1.",01_daithaoduong.txt
28,Cyclosporine,Drug,C0010592,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Các phương pháp điều trị khác nhắm vào đáp ứng viêm tự miễn, bao gồm azathioprine, corticosteroid và cyclosporine, giúp làm giảm bệnh tiểu đường loại 1 sớm ở một số bệnh nhân",01_daithaoduong.txt
29,Cytomegalovirus,Cause,C0010825,,Là nguyên nhân gây ra,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Một số loại vi rút (bao gồm coxsackievirus, vi rút rubella, cytomegalovirus, vi rút Epstein-Barr, SARS-CoV-2 (1, 2) và retrovirus) có liên quan đến khởi phát của bệnh tiểu đường loại 1.",01_daithaoduong.txt
30,Cắt lọc,Treatment,C0011079,,Điều trị,Loét chân do bệnh lý thần kinh,DiseaseSubtype,C0406526,,"Vì hầu hết bệnh nhân với loét này có ít hoặc không có tắc động mạch lớn, cắt lọc và kháng sinh thường xuyên thường dẫn tới liền thương tốt và có thể phòng tránh phẫu thuật lớn.",01_daithaoduong.txt
