STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Albuterol,Drug,C0001927,,Điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Sol khí Albuterol, 2 nhát hít từ bình thuốc hít định liều 4 lần đến 6 lần mỗi ngày nếu cần, thường là loại thuốc được lựa chọn để điều trị khó thở từng đợt hoặc điều trị sớm các đợt cấp.",02_dieutri.txt
2,Amoxicillin,Drug,C0002645,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
3,Amoxicillin/clavulanate,Drug,C0054066,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
4,Amoxicillin/clavulanate,Drug,C0054066,,Điều trị,Đợt cấp bệnh phổi,Disease,Chưa có,,Bệnh nhân có thể được hướng dẫn để nhận ra sự thay đổi đờm từ bình thường sang mủ như là một dấu hiệu của đợt cấp sắp tới và bắt đầu một đợt điều trị kháng sinh từ 10 đến 14 ngày.,03_dieutridotcap.txt
5,Azithromycin,Drug,C0052796,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Một loại kháng sinh thay thế là azithromycin.,03_dieutridotcap.txt
6,Azithromycin 250 mg/ngày,Drug,Chưa có,dosage: 250 mg; frequency: một lần/ngày,Dự phòng,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Liều azithromycin 250 mg uống một lần/ngày đã chứng minh hiệu quả.,02_dieutri.txt
7,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
8,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
9,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"Trong những năm gần đây, đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD hoặc suy giảm chức năng phổi ở các quần thể được lựa chọn, nhưng không có kết quả nào được chứng minh là có hậu quả như alpha-1 antitrypsin.",01_copd.txt
10,Bình xịt định liều,Treatment,C0993596,,Thiết bị hỗ trợ điều trị,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,"Để điều trị tại nhà đối với bệnh mạn tính ổn định, sử dụng thuốc bằng ống hít định liều hoặc ống hít bột khô được ưu tiên hơn là dùng bằng máy khí dung",02_dieutri.txt
11,Bóng khí > 1 cm,Measurement,Chưa có,Thông số: Khoảng thấu quang bóng khí; Giá trị: >> 1 cm,Là đặc điểm hình ảnh của,Khí phế thũng,DiseaseSubtype,C0034067,,"bóng khí (tức là, khoảng thấu quang > 1 cm bao quanh bởi đường cong, viền mỏng)",01_copd.txt
