source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
Bệnh mạch máu thận,Disease,C0268790,,CAUSES,Tăng huyết áp,Disease,C0020538,,0.99,1,2,Bệnh mạch máu thận là một trong những nguyên nhân phổ biến nhất gây tăng huyết áp,04_tanghuyetapdobenhlymachthan.txt
Bệnh mạch thận,Cause,C0020545,,HAS_SIGN,Tiếng thổi hai thì ở vùng thượng vị,Sign,,,0.85,1,2,"Tiếng thổi hai thì ở vùng thượng vị, thường lan sang bên và đôi khi lan ra sau lưng thường là bệnh lý, nhưng triệu chứng này chỉ xuất hiện ở 50% bệnh nhân với loạn sản xơ cơ và hiếm gặp ở những bệnh nhân có xơ vữa động mạch thận.",04_tanghuyetapdobenhlymachthan.txt
Bệnh mạch thận,Cause,C0020545,,HAS_SIGN,Tiếng thổi động mạch thận,Sign,,,0.99,2,2,Tiếng thổi động mạch thận có thể nghe thấy ở < 50% bệnh nhân.,04_tanghuyetapdobenhlymachthan.txt
Bệnh mạch thận,Cause,C0020545,,LEADS_TO,Phù phổi,Disease,C0034063,,0.8,1,2,"các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
Bệnh mạch thận,Cause,C0020545,,LEADS_TO,Suy tim cấp,Complication,C0264714,,0.8,1,2,"các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
Chẩn đoán hình ảnh,Test,C0011923,,DETECTS,Kích thước thận không đối xứng > 1cm,Measurement,,Thông số: Kích thước thận không đối xứng; Giá trị: >1 cm,0.95,1,2,Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh,04_tanghuyetapdobenhlymachthan.txt
Chẩn đoán hình ảnh,Test,C0011923,,DIAGNOSES,Bệnh mạch thận,Cause,C0020545,,0.85,1,2,"Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh, và các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
Chẩn đoán hình ảnh,Test,C0011923,,DIAGNOSES,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,0.85,1,2,"Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh, và các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
Chẩn đoán hình ảnh mạch thận,Test,C0202930,,DIAGNOSES,Bệnh mạch thận,Cause,C0020545,,0.99,2,2,Chụp động mạch thận là kiểm tra có tính chẩn đoán xác định,04_tanghuyetapdobenhlymachthan.txt
Chẩn đoán hình ảnh mạch thận,Test,C0202930,,DIAGNOSES,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,0.99,2,2,Chụp động mạch thận là kiểm tra có tính chẩn đoán xác định,04_tanghuyetapdobenhlymachthan.txt
