STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Aliskiren,Drug,C1120110,,Thận trọng khi phối hợp với ACEi/ARB ở,Bệnh thận,Disease,C0022658,,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường hoặc bệnh thận,02_thuocdieutri.txt
2,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Mang thai,DiseaseSubtype,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
3,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Thai kỳ,PatientGroup,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
4,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Thời kỳ mang thai,RiskFactor,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
5,Aliskiren,Drug,C1120110,,Thận trọng khi phối hợp với ACEi/ARB ở,Đái tháo đường,Disease,C0011849,,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường,02_thuocdieutri.txt
6,Aliskiren,Drug,C1120110,,Điều trị,Tăng huyết áp,Disease,C0020538,,"Aliskiren, một chất ức chế renin trực tiếp, được sử dụng trong điều trị tăng huyết áp.",02_thuocdieutri.txt
7,Bệnh não do tăng huyết áp,Disease,C0151620,,Dẫn đến biến chứng,Phù gai thị,Complication,C0030353,,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
8,Bệnh não do tăng huyết áp,Disease,C0151620,,Dẫn đến biến chứng,Phù não,Complication,C0006114,,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
9,Bệnh não tăng huyết áp,Complication,C0151620,,Dẫn đến biến chứng,Phù gai thị,Complication,C0030353,,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
10,Bệnh não tăng huyết áp,Complication,C0151620,,Dẫn đến biến chứng,Phù não,Complication,C0006114,,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
