source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
100 và 200 mg/dL,Measurement,,min: 100; max: 200; range_mg_dL: 100-200; range_mmol_L: 5.5-11.1; min_value: 100; max_value: 200,DEFINES_THRESHOLD_FOR,bệnh tiểu đường,Disease,C0011849,,0.99,2,2,"duy trì glucose huyết tương giữa 100 và 200 mg/dL (5,5 và 11,1 mmol/L) cho tới khi bệnh nhân có thể chuyển ăn đường miệng",01_daithaoduong.txt
5 năm,Measurement,,Giá trị: 5 năm,DEFINES_THRESHOLD_FOR,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.99,2,2,Tất cả bệnh nhân với đái tháo đường loại 1 nên bắt đầu sàng lọc biến chứng đái tháo đường sau thời điểm chẩn đoán 5 năm.,01_daithaoduong.txt
90 mg/dL đến 250 mg/dL,Measurement,,min: 90; max: 250,DEFINES_THRESHOLD_FOR,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.9775,2,2,Phạm vi mục tiêu của đường huyết trước khi tập thể dục phải nằm trong khoảng từ 90 mg/dL đến 250 mg/dL (5 mmol/L đến 14 mmol/L).,01_daithaoduong.txt
< 130/80 mm Hg,Measurement,,Huyết áp <130/<80 mmHg,DEFINES_THRESHOLD_FOR,tăng huyết áp,Disease,C0020538,,0.99,2,2,"Đối với hầu hết bệnh nhân mắc bệnh tiểu đường, huyết áp nên được duy trì ở mức < 130/80 mm Hg",01_daithaoduong.txt
"> 200 mg/dL (> 11,1 mmol/L)",Measurement,,value_mg_dl: 200; value_mmol_l: 11.1,DEFINES_THRESHOLD_FOR,bệnh tiểu đường,Disease,C0011849,,0.99,2,2,"Glucose ngẫu nhiên > 200 mg/dL (> 11,1 mmol/L) có thể chẩn đoán",01_daithaoduong.txt
"> 250 đến 300 mg/dL [13,9 đến 16,7 mmol/L]",Measurement,,range_mg_dl: 250-300; range_mmol_l: 13.9-16.7,DEFINES_THRESHOLD_FOR,tăng đường huyết,DiseaseSubtype,C0020456,,0.99,1,2,"tăng đường huyết không ổn định (> 250 đến 300 mg/dL [13,9 đến 16,7 mmol/L])",01_daithaoduong.txt
> 65 tuổi,Measurement,,age_threshold: 65,DEFINES_THRESHOLD_FOR,Không dung nạp glucose,DiseaseSubtype,C0271650,,0.85,1,2,có tới một phần ba số người lớn > 65 tuổi bị suy giảm khả năng dung nạp glucose.,01_daithaoduong.txt
> 90%,Measurement,,Giá trị: >90 %,DEFINES_THRESHOLD_FOR,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.8,1,2,chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1,01_daithaoduong.txt
Antithymocyte globulin (ATG),Drug,C0003442,,TREATS,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.99,3,2,"Antithymocyte globulin (ATG), thuốc ức chế TNF-alpha (yếu tố hoại tử khối u-alpha) và abatacept (CTLA-4-Ig) đã cho thấy một số hứa hẹn trong việc bảo tồn chức năng tế bào beta ở bệnh đái tháo đường loại 1 mới khởi phát",01_daithaoduong.txt
Bệnh vi mạch,DiseaseSubtype,C0206064,,LEADS_TO,loét,Complication,C0041582,,0.99,2,2,"Bệnh vi mạch cũng có thể làm giảm khả năng lành vết thương, do đó ngay cả những vết rách nhỏ trên da cũng có thể phát triển thành vết loét sâu hơn",01_daithaoduong.txt
FPG,Test,C0583513,,DIAGNOSES,bệnh tiểu đường,Disease,C0011849,,0.99,2,2,sàng lọc bệnh tiểu đường với mức FPG,01_daithaoduong.txt
Fructosamine,Test,C0060765,,DIAGNOSES,bệnh tiểu đường,Disease,C0011849,,0.99,2,2,Theo dõi Fructosamine có thể sủ dụng trong thời gian điều trị đái tháo đường tích cực,01_daithaoduong.txt
Ghép tụy,Treatment,C0030275,,TREATS,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.99,2,2,"Ghép tụy và ghép tế bào đảo tụy là phương pháp thay thế cung cấp insulin (11, 12); cả hai kỹ thuật đều cấy ghép tế bào beta sản xuất insulin một cách hiệu quả vào những bệnh nhân bị thiếu insulin (bị bệnh tiểu đường loại 1).",01_daithaoduong.txt
"HLA-DR3,DQB1*0201",Mechanism,,,UNDERLIES,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.9,1,2,"Gen nhay cảm gồm gen trong phức hợp hòa hợp mô chính (MHC) - đặc biệt HLA-DR3,DQB1*0201 và HLA-DR4,DQB1*0302, chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1",01_daithaoduong.txt
"HLA-DR4,DQB1*0302",Mechanism,,,UNDERLIES,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.9,1,2,"Gen nhay cảm gồm gen trong phức hợp hòa hợp mô chính (MHC) - đặc biệt HLA-DR3,DQB1*0201 và HLA-DR4,DQB1*0302, chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1",01_daithaoduong.txt
"HbA1C < 6,5%",Measurement,,Giá trị: <6.5 %,DEFINES_THRESHOLD_FOR,hạ đường huyết,DiseaseSubtype,C0020615,,0.9,1,2,"Các bác sĩ lâm sàng cũng có thể đề nghị các mục tiêu đường huyết chặt chẽ hơn (ví dụ: HbA1C < 6,5%) ở một số bệnh nhân được chọn nếu những mục tiêu này có thể đạt được mà không bị hạ đường huyết.",01_daithaoduong.txt
HbA1c,Test,C0019018,,DIAGNOSES,bệnh tiểu đường,Disease,C0011849,,0.99,4,2,"Những người >= 35 tuổi và tất cả người lớn có các yếu tố nguy cơ bổ sung được mô tả ở trên nên được sàng lọc bệnh tiểu đường với mức FPG, HbA1C hoặc giá trị 2 giờ khi OGTT 75 g ít nhất 3 năm một lần miễn là glucose huyết tương các chỉ số đo là bình thường và ít nhất là hàng năm nếu kết quả cho thấy nồng độ đường huyết lúc đói bị suy giảm .",01_daithaoduong.txt
HbA1c,Test,C0019018,,DIAGNOSES,bệnh tiểu đường loại 2,DiseaseSubtype,C0011860,,0.99,2,2,HbA1C nên được đánh giá hàng quí với bệnh nhân đái tháo đường loại 1 và ít nhất 2 lần mỗi năm ở bệnh nhân đái tháo đường loại 2,01_daithaoduong.txt
HbA1c,Test,C0019018,,DIAGNOSES,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.99,2,2,HbA1C nên được đánh giá hàng quí với bệnh nhân đái tháo đường loại 1,01_daithaoduong.txt
HbA1c,Test,C0019018,,MEASURES,3 tháng một lần,Measurement,,frequency: 3,0.99,2,2,Nồng độ HbA1C đo được trong huyết tương tĩnh mạch được theo dõi 3 tháng một lần,01_daithaoduong.txt
HbA1c,Test,C0019018,,MEASURES,6 tháng một lần,Measurement,,frequency: 6,0.99,2,2,Nồng độ HbA1C đo được trong huyết tương tĩnh mạch được theo dõi 3 tháng một lần hoặc đối với những bệnh nhân được kiểm soát tốt là 6 tháng một lần.,01_daithaoduong.txt
HbA1c,Test,C0019018,,MEASURES,glucose máu,Test,C0005802,,0.99,2,2,"Tuy nhiên, HbA1C là một biện pháp gián tiếp của lượng đường trong máu",01_daithaoduong.txt
HbA1c,Test,C0019018,,MEASURES,lượng đường trong máu,Measurement,C0005802,,0.99,2,2,"Tuy nhiên, HbA1C là một biện pháp gián tiếp của lượng đường trong máu",01_daithaoduong.txt
Hệ thống theo dõi đường huyết liên tục (CGM),Test,C4523945,,MEASURES,< 4%,Measurement,C5940036,Giá trị: 4 %,0.99,1,2,"Với theo dõi đường huyết liên tục (CGM), thời gian 14 ngày trong khoảng (TIR) > 70%",01_daithaoduong.txt
Insulin thang điểm trượt,Treatment,C0557977,,TREATS,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.99,2,2,"Tuy nhiên, một chế độ điều trị insulin theo thang điểm trượt không phải là một chiến lược hiệu quả để duy trì euglycemia ở bệnh nhân tiểu đường loại 1",01_daithaoduong.txt
Phẫu thuật chuyển hóa (phẫu thuật giảm béo),Treatment,C1456587,,TREATS,bệnh tiểu đường,Disease,C0011849,,0.99,2,2,"Ở những bệnh nhân béo phì, liệu pháp dược lý để giảm cân, thiết bị y tế và phẫu thuật giảm cân có thể được sử dụng như biện pháp hỗ trợ cho chế độ ăn kiêng và hoạt động thể chất (xem giảm cân trong bệnh tiểu đường).",01_daithaoduong.txt
SARS-CoV-2,Cause,C5203676,,CAUSES,đái tháo đường Loại 1,DiseaseSubtype,C0011854,,0.9,1,2,"Một số loại vi rút (bao gồm coxsackievirus, vi rút rubella, cytomegalovirus, vi rút Epstein-Barr, SARS-CoV-2 (1, 2) và retrovirus) có liên quan đến khởi phát của bệnh tiểu đường loại 1.",01_daithaoduong.txt
SARS-CoV-2,Treatment,C5387588,,TREATS,bệnh tiểu đường,Disease,C0011849,,0.9,1,2,"Tất cả bệnh nhân mắc bệnh tiểu đường nên được tiêm vắc xin phòng ngừa Streptococcus pneumoniae, vi rút cúm, viêm gan B, thủy đậu và SARS-CoV-2 theo khuyến nghị tiêu chuẩn.",01_daithaoduong.txt
