id,name,normalized_name,entity_type,umls_cui,umls_sty,formatted_attributes,attributes,source_document,created_at
Cause:hẹp hoặc tắc động mạch thận,"Hẹp động mạch hay tắc động mạch thận chính, động mạch thận phụ, hoặc bất kỳ nhánh nào của chúng",Hẹp hoặc tắc động mạch thận,Cause,,,stenosis_degree: > 70%,"{""stenosis_degree"": ""> 70%""}",04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:36.996Z
CUI:C0016052,bệnh loạn sản xơ cơ,Loạn sản xơ cơ,Cause,C0016052,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:41.129Z
CUI:C0035066,tắc nghẽn một phần hoặc toàn bộ một hoặc nhiều động mạch thận hoặc nhánh của nó,Tắc nghẽn động mạch thận,Cause,C0035066,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:36.108Z
CUI:C0160725,tổn thương động mạch thận,Tổn thương động mạch thận,Cause,C0160725,Injury or Poisoning,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:37.78Z
CUI:C0004153,xơ vữa động mạch,Xơ vữa động mạch,Cause,C0004153,Disease or Syndrome / Pathologic Function,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:39.802Z
CUI:C0155734,xơ vữa động mạch thận,Xơ vữa động mạch thận,Cause,C0155734,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:37.2Z
CUI:C0027051,nhồi máu cơ tim,Nhồi máu cơ tim,Complication,C0027051,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-20T15:59:03.212Z
CUI:C0034063,phù phổi,Phù phổi,Complication,C0034063,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:37.957Z
CUI:C1565489,suy giảm chức năng thận,Suy giảm chức năng thận,Complication,C1565489,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T06:17:31.728Z
CUI:C0018801,suy tim,Suy tim,Complication,C0018801,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T06:17:24.528Z
CUI:C0264714,suy tim cấp,Suy tim cấp,Complication,C0264714,Disease or Syndrome,,{},04_tanghuyetapdobenhlymachthan.txt,2026-08-21T15:23:38.023Z
