id,name,normalized_name,entity_type,umls_cui,umls_sty,formatted_attributes,attributes,source_document,created_at
CUI:C0018483,Haemophilus influenzae,Haemophilus influenzae,Cause,C0018483,Disease or Syndrome / Pathologic Function,,{},03_dieutridotcap.txt,2026-08-21T03:24:22.321Z
CUI:C0006132,Moraxella catarrhalis,Moraxella catarrhalis,Cause,C0006132,Disease or Syndrome / Pathologic Function,,{},03_dieutridotcap.txt,2026-08-21T03:24:30.416Z
CUI:C0004623,nhiễm vi khuẩn,Nhiễm vi khuẩn,Cause,C0004623,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:36.401Z
CUI:C0042769,vi rút,Nhiễm vi rút,Cause,C0042769,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:36.507Z
CUI:C0003811,loạn nhịp tim mới,Loạn nhịp tim,Complication,C0003811,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:36.971Z
Complication:loạn nhịp tim mới,loạn nhịp tim mới,Loạn nhịp tim mới,Complication,,,,{},03_dieutridotcap.txt,2026-08-21T16:00:42.712Z
CUI:C0268047,nhiễm toan hô hấp cấp tính,Nhiễm toan hô hấp cấp tính,Complication,C0268047,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:36.906Z
CUI:C0151559,suy nhược hệ thần kinh trung ương,Suy nhược hệ thần kinh trung ương,Complication,C0151559,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:37.885Z
CUI:C2911574,sự phụ thuộc của máy thở,Phụ thuộc máy thở,Complication,C2911574,Finding,,{},03_dieutridotcap.txt,2026-08-21T16:00:39.287Z
CUI:C0009806,táo bón,Táo bón,Complication,C0009806,Sign or Symptom,,{},03_dieutridotcap.txt,2026-08-21T16:00:42.307Z
CUI:C0024117,bệnh phổi tắc nghẽn mạn tính (COPD),Bệnh phổi tắc nghẽn mạn tính (COPD),Disease,C0024117,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T03:24:18.047Z
CUI:C0700292,hạ oxy máu,Hạ oxy máu,Disease,C0700292,Finding,,{},03_dieutridotcap.txt,2026-08-21T16:00:37.298Z
CUI:C0001127,nhiễm toan hô hấp,Nhiễm toan hô hấp,Disease,C0001127,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:37.548Z
CUI:C0034063,phù phổi,Phù phổi,Disease,C0034063,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T14:27:01.199Z
CUI:C0264490,suy hô hấp cấp,Suy hô hấp cấp,Disease,C0264490,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T03:24:29.329Z
CUI:C0035222,suy hô hấp tiến triển,Suy hô hấp tiến triển,Disease,C0035222,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T16:00:38.416Z
Disease:tăng co2 mạn tính nặng,tăng CO2 mạn tính nặng,Tăng CO2 mạn tính nặng,Disease,,,,{},03_dieutridotcap.txt,2026-08-21T16:00:43.107Z
CUI:C0032285,viêm phổi,Viêm phổi,Disease,C0032285,Disease or Syndrome,,{},03_dieutridotcap.txt,2026-08-21T07:13:21.092Z
