source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
Antiproteinase,Mechanism,C6024768,,UNDERLIES,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.99,1,2,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
Antiproteinase,Mechanism,C6024768,,UNDERLIES,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.99,1,2,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
Biến thể di truyền,Cause,C4296572,,UNDERLIES,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.8,1,2,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
Biến thể di truyền,Cause,C4296572,,UNDERLIES,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.8,1,2,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
Biến thể di truyền,Cause,C4296572,,UNDERLIES,Suy giảm chức năng phổi,DiseaseSubtype,,,0.8,1,2,"Trong những năm gần đây, đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD hoặc suy giảm chức năng phổi ở các quần thể được lựa chọn, nhưng không có kết quả nào được chứng minh là có hậu quả như alpha-1 antitrypsin.",01_copd.txt
Bóng khí > 1 cm,Measurement,,Thông số: Khoảng thấu quang bóng khí; Giá trị: >> 1 cm,DEFINES_THRESHOLD_FOR,Khí phế thũng,DiseaseSubtype,C0034067,,0.99,2,2,"bóng khí (tức là, khoảng thấu quang > 1 cm bao quanh bởi đường cong, viền mỏng)",01_copd.txt
Bạch cầu trung tính,Mechanism,C0027950,,AFFECTS_ORGAN,Phổi,Organ,C0024109,,0.99,2,2,"Tổn thương oxy hóa do bạch cầu trung tính gây ra, giải phóng các peptide thần kinh chức năng (ví dụ: bomesin) và giảm mức độ yếu tố tăng trưởng nội mô mạch máu (VEGF) có thể góp phần phá hủy nhu mô phổi theo chương trình.",01_copd.txt
Bệnh lý tim mạch,Complication,C0007222,,LEADS_TO,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,0.85,1,2,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
Bệnh lý tim mạch,Complication,C0007222,,LEADS_TO,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.85,1,2,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,HAS_SYMPTOM,Ho đờm,Symptom,C0239134,,0.99,1,2,Triệu chứng là ho đờm và khó thở phát triển qua nhiều năm,01_copd.txt
