STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Antiproteinase,Mechanism,C6024768,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
2,Antiproteinase,Mechanism,C6024768,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
3,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
4,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
5,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"Trong những năm gần đây, đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD hoặc suy giảm chức năng phổi ở các quần thể được lựa chọn, nhưng không có kết quả nào được chứng minh là có hậu quả như alpha-1 antitrypsin.",01_copd.txt
6,Bóng khí > 1 cm,Measurement,Chưa có,Thông số: Khoảng thấu quang bóng khí; Giá trị: >> 1 cm,Xác định ngưỡng chẩn đoán cho,Khí phế thũng,DiseaseSubtype,C0034067,,"bóng khí (tức là, khoảng thấu quang > 1 cm bao quanh bởi đường cong, viền mỏng)",01_copd.txt
7,Bạch cầu trung tính,Mechanism,C0027950,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"Tổn thương oxy hóa do bạch cầu trung tính gây ra, giải phóng các peptide thần kinh chức năng (ví dụ: bomesin) và giảm mức độ yếu tố tăng trưởng nội mô mạch máu (VEGF) có thể góp phần phá hủy nhu mô phổi theo chương trình.",01_copd.txt
8,Bệnh lý tim mạch,Complication,C0007222,,Dẫn đến biến chứng,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
9,Bệnh lý tim mạch,Complication,C0007222,,Dẫn đến biến chứng,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
10,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Có triệu chứng cơ năng,Ho đờm,Symptom,C0239134,,Triệu chứng là ho đờm và khó thở phát triển qua nhiều năm,01_copd.txt
