STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,120 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu bình thường; Tâm thu: 120 mmHg,Xác định ngưỡng chẩn đoán cho,tăng huyết áp khẩn cấp,DiseaseSubtype,C0745138,,tăng huyết áp nặng (thường được định nghĩa là huyết áp tâm thu >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg) cũng có thể không có triệu chứng (tăng huyết áp khẩn cấp).,01_tanghuyetap.txt
2,4 loại thuốc trở lên,Measurement,Chưa có,Thông số: Số lượng thuốc điều trị THA kháng trị; count: 4,Điều trị,tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,"Đối với tăng huyết áp kháng trị (huyết áp vẫn cao hơn mục tiêu mặc dù sử dụng 3 loại thuốc hạ huyết áp khác nhau), thường cần từ 4 loại thuốc trở lên.",01_tanghuyetap.txt
3,< 130/80 mm Hg,Measurement,Chưa có,Thông số: Huyết áp tâm thu lúc nghỉ; Huyết áp <130/<80 mmHg,Xác định ngưỡng chẩn đoán cho,tăng huyết áp,Disease,C0020538,,"Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm thu lúc nghỉ (>= 130 mmHg) hoặc huyết áp tâm trương lúc nghỉ (>= 80 mm Hg), hoặc cả hai.",01_tanghuyetap.txt
4,"< 3,5 mmol/L",Measurement,Chưa có,Thông số: Nồng độ kali huyết tương; Giá trị: <3.5 mmol/L,Xác định ngưỡng chẩn đoán cho,kali huyết tương thấp,DiseaseSubtype,C0020621,,"kali huyết tương thấp (< 3,5 mmol/L [ < 3,5 mmol/L]) làm tăng sự co mạch do sự đóng các kênh kali.",01_tanghuyetap.txt
5,Cam thảo,RiskFactor,C0086555,,Làm tăng nguy cơ mắc,tăng huyết áp,Disease,C0020538,,Cam thảo có thể làm trầm trọng thêm khả năng kiểm soát huyết áp.,01_tanghuyetap.txt
6,ECG,Test,C1623258,,Dùng để chẩn đoán,phì đại,DiseaseSubtype,C0149721,,Khi quan sát thấy phì đại thất trái trên ECG,01_tanghuyetap.txt
7,FPG,Test,C0583513,,Dùng để chẩn đoán,tăng huyết áp,Disease,C0020538,,glucose huyết tương lúc đói,01_tanghuyetap.txt
8,Huyết áp,Test,C0005824,,Dùng để chẩn đoán,tăng huyết áp,Disease,C0020538,,Tăng huyết áp được chẩn đoán bằng cách đo huyết áp.,01_tanghuyetap.txt
9,Hệ thần kinh giao cảm,Mechanism,C0039044,,Là một phần của cơ chế,Renin,Mechanism,C0035094,,Hệ thần kinh giao cảm kích thích sự bài tiết renin qua trung gian bởi kích thích các thụ thể beta (thông qua thần kinh thận),01_tanghuyetap.txt
10,Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA),Guideline,C4072694,,Phân loại thể bệnh,tăng huyết áp giai đoạn 1,Measurement,Chưa có,Thông số: Chỉ số Tăng huyết áp giai đoạn 1,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
11,Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA),Guideline,C4072694,,Phân loại thể bệnh,tăng huyết áp giai đoạn 2,DiseaseSubtype,C5231205,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
12,Lipid,Test,C0200382,,Dùng để chẩn đoán,tăng huyết áp,Disease,C0020538,,"Bảng xét nghiệm lipid, bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi), glucose huyết tương lúc đói",01_tanghuyetap.txt
13,Liệu pháp kích hoạt Baroreflex,Treatment,C3898150,,Điều trị,tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,Liệu pháp kích hoạt Baroreflex đã được đề xuất để kiểm soát tình trạng tăng huyết áp kháng thuốc,01_tanghuyetap.txt
14,Nguyên nhân thứ phát,Cause,C3262233,,Là nguyên nhân gây ra,tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,Nguyên nhân thứ phát gây tăng huyết áp phải được loại trừ khi đánh giá tình trạng tăng huyết áp kháng trị.,01_tanghuyetap.txt
15,Ngưng thở khi ngủ,Cause,C0037315,,Là nguyên nhân gây ra,tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
16,Sự thay đổi chế độ ăn,Treatment,C0086153,,Điều trị,bệnh tiểu đường,Disease,C0011849,,"Sự thay đổi chế độ ăn cũng giúp kiểm soát đái tháo đường, béo phì và rối loạn lipid máu.",01_tanghuyetap.txt
17,Sự thay đổi chế độ ăn,Treatment,C0086153,,Điều trị,rối loạn lipid máu,Disease,C0242339,,"Sự thay đổi chế độ ăn cũng giúp kiểm soát đái tháo đường, béo phì và rối loạn lipid máu.",01_tanghuyetap.txt
