STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,ACC/AHA,Guideline,C4072694,,Phân loại thể bệnh,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C5231206,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
2,ACC/AHA,Guideline,C4072694,,Phân loại thể bệnh,Tăng huyết áp giai đoạn 2,DiseaseSubtype,C5231205,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
3,Aldosterone,Mechanism,C0002006,,Gây ra,Thận,Organ,C0022646,,Aldosterone gây giữ natri,01_tanghuyetap.txt
4,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Mang thai,DiseaseSubtype,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
5,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Thai kỳ,PatientGroup,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
6,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Thời kỳ mang thai,RiskFactor,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
7,Aliskiren,Drug,C1120110,,Thận trọng khi phối hợp với ACEi/ARB ở,Bệnh thận,Disease,C0022658,,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường hoặc bệnh thận,02_thuocdieutri.txt
8,Aliskiren,Drug,C1120110,,Thận trọng khi phối hợp với ACEi/ARB ở,Đái tháo đường,Disease,C0011849,,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường,02_thuocdieutri.txt
9,Aliskiren,Drug,C1120110,,Điều trị,Tăng huyết áp,Disease,C0020538,,"Aliskiren, một chất ức chế renin trực tiếp, được sử dụng trong điều trị tăng huyết áp.",02_thuocdieutri.txt
10,Angiotensin,Mechanism,C4521302,,Là cơ chế sinh bệnh học của,Tăng huyết áp,Disease,C0020538,,"sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
11,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Aldosterone,Mechanism,C0002006,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
12,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Bệnh mạch thận,Cause,C0020545,,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
13,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
14,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Vasopressin,Mechanism,C1705480,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
15,Bảng xét nghiệm chuyển hóa đầy đủ,Test,C0519825,,Dùng để đánh giá,Tăng huyết áp,Disease,C0020538,,"bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi)",01_tanghuyetap.txt
16,Bệnh cơ tim giãn,DiseaseSubtype,C0007193,,Dẫn đến biến chứng,Suy tim,Complication,C0018801,,gây ra bệnh cơ tim giãn và suy tim,01_tanghuyetap.txt
17,Bệnh mạch máu thận,Disease,C0268790,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,Bệnh mạch máu thận là một trong những nguyên nhân phổ biến nhất gây tăng huyết áp,04_tanghuyetapdobenhlymachthan.txt
18,Bệnh mạch thận,Cause,C0020545,,Có dấu hiệu thực thể,Tiếng thổi hai thì ở vùng thượng vị,Sign,Chưa có,,"Tiếng thổi hai thì ở vùng thượng vị, thường lan sang bên và đôi khi lan ra sau lưng thường là bệnh lý, nhưng triệu chứng này chỉ xuất hiện ở 50% bệnh nhân với loạn sản xơ cơ và hiếm gặp ở những bệnh nhân có xơ vữa động mạch thận.",04_tanghuyetapdobenhlymachthan.txt
19,Bệnh mạch thận,Cause,C0020545,,Có dấu hiệu thực thể,Tiếng thổi động mạch thận,Sign,Chưa có,,Tiếng thổi động mạch thận có thể nghe thấy ở < 50% bệnh nhân.,04_tanghuyetapdobenhlymachthan.txt
20,Bệnh mạch thận,Cause,C0020545,,Có thể gây ra,Phù phổi,Disease,C0034063,,"các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
21,Bệnh mạch thận,Cause,C0020545,,Có thể gây ra,Suy tim cấp,Complication,C0264714,,"các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
22,Bệnh mạch thận,Cause,C0020545,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
23,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
24,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"chỉ có 5% đến 15% là thứ phát do một bệnh lý khác (ví dụ: cường aldosteron nguyên phát, bệnh nhu mô thận).",01_tanghuyetap.txt
25,Bệnh não do tăng huyết áp,Disease,C0151620,,Dẫn đến biến chứng,Phù gai thị,Complication,C0030353,,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
26,Bệnh não do tăng huyết áp,Disease,C0151620,,Dẫn đến biến chứng,Phù não,Complication,C0006114,,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
27,Bệnh não do tăng huyết áp,Disease,C0151620,,Gây tổn thương cơ quan,Não,Organ,C0006104,,Bệnh não do tăng huyết áp có thể liên quan đến tình trạng thất bại trong quá trình tự điều hòa lưu lượng máu ở não.,03_tanghuyetapcapcuu.txt
28,Bệnh não tăng huyết áp,Complication,C0151620,,Dẫn đến biến chứng,Phù gai thị,Complication,C0030353,,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
29,Bệnh não tăng huyết áp,Complication,C0151620,,Dẫn đến biến chứng,Phù não,Complication,C0006114,,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
30,Bệnh não tăng huyết áp,Complication,C0151620,,Gây tổn thương cơ quan,Não,Organ,C0006104,,Bệnh não do tăng huyết áp có thể liên quan đến tình trạng thất bại trong quá trình tự điều hòa lưu lượng máu ở não.,03_tanghuyetapcapcuu.txt
31,Bệnh thận,Disease,C0022658,,Làm tăng nguy cơ mắc,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
32,Bệnh thận,Complication,C0022658,,Làm tăng nguy cơ mắc,Xơ vữa động mạch,Mechanism,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
33,Bệnh thận mạn,Disease,C1561643,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
34,Bệnh thận mạn tính,Cause,C1561643,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
35,Cam thảo,RiskFactor,C0086555,,Làm tăng nguy cơ mắc,Tăng huyết áp,Disease,C0020538,,Cam thảo có thể làm trầm trọng thêm khả năng kiểm soát huyết áp.,01_tanghuyetap.txt
36,Chlorthalidone,Drug,C0008294,,Điều trị,Bệnh thận mạn tính giai đoạn 4,DiseaseSubtype,C2317473,,chlorthalidone đã được chứng minh là có hiệu quả trong việc cải thiện huyết áp trên bệnh nhân có mức lọc cầu thận < 30 mL/phút.,02_thuocdieutri.txt
37,Chuyên gia tăng huyết áp,Treatment,C5958903,,Quản lý/Tư vấn điều trị,Tăng huyết áp,Disease,C0020538,,Những bệnh nhân khó khăn trong kiểm soát huyết áp như vậy nên tham khảo ý kiến của các chuyên gia về tăng huyết áp.,01_tanghuyetap.txt
38,Chẩn đoán hình ảnh,Test,C0011923,,Dùng để chẩn đoán,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,"Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh, và các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
39,Chẩn đoán hình ảnh,Test,C0011923,,Giúp phát hiện,Kích thước thận không đối xứng > 1cm,Measurement,Chưa có,Thông số: Kích thước thận không đối xứng; Giá trị: >1 cm,Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh,04_tanghuyetapdobenhlymachthan.txt
40,Chẩn đoán hình ảnh,Test,C0011923,,Hỗ trợ gợi ý,Bệnh mạch thận,Cause,C0020545,,"Kích thước thận không đối xứng (> 1cm) được phát hiện tình cờ qua các thăm dò chẩn đoán hình ảnh, và các đợt phù phổi hoặc suy tim cấp, tái diễn không rõ nguyên nhân cũng gợi ý tăng huyết áp do mạch thận.",04_tanghuyetapdobenhlymachthan.txt
41,Chẩn đoán hình ảnh mạch thận,Test,C0202930,,Dùng để chẩn đoán,Bệnh mạch thận,Cause,C0020545,,Chụp động mạch thận là kiểm tra có tính chẩn đoán xác định,04_tanghuyetapdobenhlymachthan.txt
42,Chẩn đoán hình ảnh mạch thận,Test,C0202930,,Dùng để chẩn đoán,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,Chụp động mạch thận là kiểm tra có tính chẩn đoán xác định,04_tanghuyetapdobenhlymachthan.txt
43,Chế độ ăn ít chất béo,Treatment,C0242970,,Điều trị,Rối loạn lipid máu,Disease,C0242339,,Lipid máu tăng rõ trong vòng 4 tuần điều trị và có thể được cải thiện bởi một chế độ ăn ít chất béo.,02_thuocdieutri.txt
44,Chỉ số huyết áp,Test,C0005824,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,Tăng huyết áp được chẩn đoán bằng cách đo huyết áp.,01_tanghuyetap.txt
