id,name,normalized_name,entity_type,umls_cui,umls_sty,formatted_attributes,attributes,source_document,created_at
Complication:biến chứng hô hấp do cúm,biến chứng hô hấp do cúm,Biến chứng hô hấp do cúm,Complication,,,,{},02_dieutri.txt,2026-08-21T16:40:38.476Z
CUI:C0080274,bí đái,Bí đái,Complication,C0080274,Functional Concept,,{},02_dieutri.txt,2026-08-21T16:40:32.718Z
CUI:C0036572,co giật,Co giật,Complication,C0036572,Sign or Symptom,,{},02_dieutri.txt,2026-08-21T16:40:34.964Z
CUI:C6024570,cảm giác nôn nao,Cảm giác nôn nao,Complication,C6024570,Clinical Attribute,,{},02_dieutri.txt,2026-08-21T16:40:34.78Z
CUI:C0026961,giãn đồng tử,Giãn đồng tử,Complication,C0026961,Sign or Symptom,,{},02_dieutri.txt,2026-08-21T16:40:32.596Z
CUI:C0020621,giảm kali máu,Giảm kali máu,Complication,C0020621,Finding,,{},02_dieutri.txt,2026-08-21T14:26:50.612Z
CUI:C0016658,gãy xương,Gãy xương,Complication,C0016658,Injury or Poisoning,,{},02_dieutri.txt,2026-08-21T16:40:33.987Z
CUI:C0043352,khô miệng,Khô miệng,Complication,C0043352,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:32.788Z
CUI:C0029456,loãng xương,Loãng xương,Complication,C0029456,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T03:24:23.678Z
CUI:C0085612,loạn nhịp thất,Loạn nhịp thất,Complication,C0085612,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:34.904Z
CUI:C0428974,loạn nhịp trên thất,Loạn nhịp trên thất,Complication,C0428974,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:34.838Z
CUI:C0917801,mất ngủ,Mất ngủ,Complication,C0917801,Sign or Symptom,,{},02_dieutri.txt,2026-08-21T16:40:34.719Z
CUI:C0029118,nhiễm trùng cơ hội,Nhiễm trùng cơ hội,Complication,C0029118,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:42.236Z
CUI:C3827868,nhịp tim nhanh,Nhịp tim nhanh,Complication,C3827868,Finding,,{},02_dieutri.txt,2026-08-21T16:40:32.455Z
CUI:C0003811,rối loạn nhịp tim,Rối loạn nhịp tim,Complication,C0003811,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:00:36.971Z
CUI:C0162429,suy dinh dưỡng,Suy dinh dưỡng,Complication,C0162429,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:39.269Z
CUI:C5979876,suy yếu cơ xương,Suy yếu cơ xương,Complication,C5979876,Finding,,{},02_dieutri.txt,2026-08-21T16:40:39.958Z
CUI:C1262477,sụt cân,Sụt cân,Complication,C1262477,Finding,,{},02_dieutri.txt,2026-08-21T16:40:43.948Z
CUI:C0026846,teo cơ,Teo cơ,Complication,C0026846,Pathologic Function,,{},02_dieutri.txt,2026-08-21T16:40:39.329Z
CUI:C4761312,thiếu hụt dinh dưỡng,Thiếu hụt dinh dưỡng,Complication,C4761312,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:44.037Z
CUI:C0154946,tăng nhãn áp góc đóng cấp,Tăng nhãn áp góc đóng cấp,Complication,C0154946,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:32.657Z
CUI:C0086543,đục thủy tinh thể,Đục thủy tinh thể,Complication,C0086543,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:33.6Z
CUI:C0024117,COPD,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T03:24:18.047Z
Disease:copd ổn định mạn tính,COPD ổn định mạn tính,COPD ổn định mạn tính,Disease,,,,{},02_dieutri.txt,2026-08-21T16:40:34.426Z
CUI:C0007222,bệnh tim mạch,Bệnh tim mạch,Disease,C0007222,Disease or Syndrome,,{},02_dieutri.txt,2026-08-20T14:17:13.153Z
CUI:C1956346,bệnh động mạch vành,Bệnh động mạch vành,Disease,C1956346,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T06:17:27.626Z
CUI:C0004096,hen,Hen phế quản,Disease,C0004096,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T03:24:19.276Z
CUI:C1845073,nhiễm trùng phế cầu khuẩn xâm lấn,Nhiễm trùng phế cầu khuẩn xâm lấn,Disease,C1845073,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:43.881Z
CUI:C0034067,phế thũng,Phế thũng,Disease,C0034067,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:40.671Z
CUI:C0086565,rối loạn chức năng gan,Rối loạn chức năng gan,Disease,C0086565,Finding,,{},02_dieutri.txt,2026-08-21T16:40:35.242Z
CUI:C0007820,rối loạn mạch máu não,Rối loạn mạch máu não,Disease,C0007820,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:37.38Z
CUI:C1145670,suy hô hấp,Suy hô hấp,Disease,C1145670,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:40.037Z
CUI:C0700292,thiếu oxy máu,Thiếu oxy máu,Disease,C0700292,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:00:37.298Z
CUI:C0032285,viêm phổi,Viêm phổi,Disease,C0032285,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T07:13:21.092Z
CUI:C0694549,viêm phổi mắc phải tại cộng đồng,Viêm phổi mắc phải tại cộng đồng,Disease,C0694549,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:38.932Z
DiseaseSubtype:copd rất nặng,Bệnh nhân COPD rất nặng,COPD rất nặng,DiseaseSubtype,,,,{},02_dieutri.txt,2026-08-21T16:40:40.422Z
DiseaseSubtype:copd giai đoạn ổn định,COPD mạn tính ổn định,COPD giai đoạn ổn định,DiseaseSubtype,,,,{},02_dieutri.txt,2026-08-21T16:00:35.907Z
DiseaseSubtype:giảm oxy máu do gắng sức,giảm oxy máu do gắng sức,Giảm oxy máu do gắng sức,DiseaseSubtype,,,,{},02_dieutri.txt,2026-08-21T16:40:38.336Z
DiseaseSubtype:khí thũng nặng,khí thũng nặng,Khí thũng nặng,DiseaseSubtype,,,,{},02_dieutri.txt,2026-08-21T16:40:40.731Z
CUI:C0241982,kén khí,Kén khí,DiseaseSubtype,C0241982,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T03:24:22.925Z
CUI:C2973725,tăng áp động mạch phổi,Tăng áp động mạch phổi,DiseaseSubtype,C2973725,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T03:24:23.314Z
DiseaseSubtype:tăng áp động mạch phổi nặng,tăng áp động mạch phổi nặng,Tăng áp động mạch phổi nặng,DiseaseSubtype,,,,{},02_dieutri.txt,2026-08-21T16:40:42.112Z
CUI:C0008677,viêm phế quản mạn tính,Viêm phế quản mạn tính,DiseaseSubtype,C0008677,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T16:40:31.755Z
CUI:C0340044,đợt cấp,Đợt cấp COPD,DiseaseSubtype,C0340044,Disease or Syndrome,,{},02_dieutri.txt,2026-08-21T03:24:23.533Z
CUI:C2699757,Aclidinium,Aclidinium,Drug,C2699757,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:32.973Z
CUI:C0001927,Albuterol,Albuterol,Drug,C0001927,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.547Z
CUI:C0014806,Erythromycin,Erythromycin,Drug,C0014806,Organic Chemical,,{},02_dieutri.txt,2026-08-21T16:40:36.038Z
CUI:C0017970,Glycopyrrolate,Glycopyrrolate,Drug,C0017970,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:33.233Z
CUI:C0027235,Ipratropium,Ipratropium,Drug,C0027235,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.626Z
CUI:C4519232,Revefenacin,Revefenacin,Drug,C4519232,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:33.358Z
CUI:C0039771,Theophylline,Theophylline,Drug,C0039771,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.691Z
CUI:C0213771,Tiotropium,Tiotropium,Drug,C0213771,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.947Z
CUI:C3661274,Umeclidinium,Umeclidinium,Drug,C3661274,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:33.032Z
CUI:C0052796,azithromycin,Azithromycin,Drug,C0052796,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.073Z
Drug:azithromycin 250 mg/ngày,azithromycin 250 mg uống một lần/ngày,Azithromycin 250 mg/ngày,Drug,,,dosage: 250 mg; frequency: một lần/ngày,"{""dosage"": ""250 mg"", ""frequency"": ""một lần/ngày""}",02_dieutri.txt,2026-08-21T16:40:35.929Z
CUI:C4688747,balaxovir marboxil,Baloxavir marboxil,Drug,C4688747,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:38.808Z
CUI:C0012544,bisphosphonate,Bisphosphonate,Drug,C0012544,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:38.405Z
CUI:C0085208,bupropion,Bupropion,Drug,C0085208,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:29.472Z
CUI:C0006675,canxi,Canxi,Drug,C0006675,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:34.048Z
CUI:C0060657,formoterol,Formoterol,Drug,C0060657,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.883Z
CUI:C0037663,hormon tăng trưởng,Hormon tăng trưởng,Drug,C0037663,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:39.659Z
CUI:C1722260,indacaterol,Indacaterol,Drug,C1722260,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:32.248Z
CUI:C0068722,kẹo cao su,Kẹo cao su nicotine,Drug,C0068722,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:29.125Z
CUI:C0358855,miếng dán da,Miếng dán da nicotine,Drug,C0358855,Clinical Drug,,{},02_dieutri.txt,2026-08-21T16:40:29.204Z
CUI:C2934193,olodaterol,Olodaterol,Drug,C2934193,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:32.309Z
CUI:C0874161,oseltamivir,Oseltamivir,Drug,C0874161,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:38.61Z
CUI:C0965618,roflumilast,Roflumilast,Drug,C0965618,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:26.99Z
CUI:C0073992,salmeterol,Salmeterol,Drug,C0073992,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:27.821Z
CUI:C0002845,steroid đồng hoá,Steroid đồng hóa,Drug,C0002845,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:39.596Z
CUI:C0814019,thuốc hít,Thuốc hít nicotine,Drug,C0814019,Medical Device,,{},02_dieutri.txt,2026-08-21T16:40:29.285Z
CUI:C1253423,thuốc viên,Thuốc viên nicotine,Drug,C1253423,Clinical Drug,,{},02_dieutri.txt,2026-08-21T16:40:29.347Z
CUI:C1569608,varenicline,Varenicline,Drug,C1569608,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:29.552Z
CUI:C2935023,vilanterol,Vilanterol,Drug,C2935023,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:33.091Z
CUI:C0042866,vitamin D,Vitamin D,Drug,C0042866,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:34.107Z
CUI:C3192374,xịt mũi,Thuốc xịt mũi nicotine,Drug,C3192374,Clinical Drug,,{},02_dieutri.txt,2026-08-21T16:40:29.409Z
CUI:C0216660,zanamivir,Zanamivir,Drug,C0216660,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:38.673Z
CUI:C4053960,Corticosteroid đường uống hoặc hệ thống,Corticosteroid đường uống hoặc hệ thống,DrugClass,C4053960,Therapeutic or Preventive Procedure,,{},02_dieutri.txt,2026-08-21T03:24:30.005Z
CUI:C2936609,Phosphodiesterase-4,Thuốc ức chế Phosphodiesterase-4,DrugClass,C2936609,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:31.425Z
CUI:C0578554,Thuốc giãn phế quản dạng hít,Thuốc giãn phế quản dạng hít,DrugClass,C0578554,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:35.25Z
DrugClass:thuốc giãn phế quản tác dụng ngắn,Thuốc giãn phế quản tác dụng ngắn,Thuốc giãn phế quản tác dụng ngắn,DrugClass,,,,{},02_dieutri.txt,2026-08-21T07:13:32.381Z
CUI:C2936789,chủ vận beta-2,Thuốc chủ vận beta-2,DrugClass,C2936789,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:16.797Z
CUI:C4020618,corticosteroid dạng hít,Corticosteroid dạng hít,DrugClass,C4020618,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T03:24:29.037Z
CUI:C3537192,các chất đối kháng TNF,Chất đối kháng TNF,DrugClass,C3537192,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:39.72Z
CUI:C0949665,fluoroquinolone,Fluoroquinolone,DrugClass,C0949665,Organic Chemical,,{},02_dieutri.txt,2026-08-21T16:00:41.188Z
CUI:C0242896,kháng cholinergic,Kháng cholinergic,DrugClass,C0242896,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:33.153Z
CUI:C0003240,kháng sinh macrolide,Kháng sinh macrolide,DrugClass,C0003240,Organic Chemical,,{},02_dieutri.txt,2026-08-21T16:00:41.692Z
CUI:C0019593,thuốc chẹn histamine 2,Thuốc chẹn histamine 2,DrugClass,C0019593,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:35.482Z
CUI:C0001644,thuốc chủ vận beta,Thuốc chủ vận beta,DrugClass,C0001644,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T07:13:33.089Z
DrugClass:thuốc chủ vận beta tác dụng kéo dài (laba),thuốc chủ vận beta tác dụng kéo dài,Thuốc chủ vận beta tác dụng kéo dài (LABA),DrugClass,,,,{},02_dieutri.txt,2026-08-21T16:40:30.118Z
CUI:C4538237,thuốc chủ vận beta tác dụng kéo dài,LABA,DrugClass,C4538237,Pharmacologic Substance,,{},02_dieutri.txt,2026-08-21T16:40:33.151Z
DrugClass:thuốc chủ vận beta tác dụng ngắn (saba),thuốc chủ vận beta tác dụng ngắn,Thuốc chủ vận beta tác dụng ngắn (SABA),DrugClass,,,,{},02_dieutri.txt,2026-08-21T16:00:43.818Z
