STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,Amoxicillin,Drug,C0002645,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
2,Amoxicillin/clavulanate,Drug,C0054066,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
3,Amoxicillin/clavulanate,Drug,C0054066,,Điều trị,Đợt cấp bệnh phổi,Disease,Chưa có,,Bệnh nhân có thể được hướng dẫn để nhận ra sự thay đổi đờm từ bình thường sang mủ như là một dấu hiệu của đợt cấp sắp tới và bắt đầu một đợt điều trị kháng sinh từ 10 đến 14 ngày.,03_dieutridotcap.txt
4,Azithromycin,Drug,C0052796,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Một loại kháng sinh thay thế là azithromycin.,03_dieutridotcap.txt
5,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
6,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
7,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"Trong những năm gần đây, đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD hoặc suy giảm chức năng phổi ở các quần thể được lựa chọn, nhưng không có kết quả nào được chứng minh là có hậu quả như alpha-1 antitrypsin.",01_copd.txt
8,Bóng khí > 1 cm,Measurement,Chưa có,Thông số: Khoảng thấu quang bóng khí; Giá trị: >> 1 cm,Là đặc điểm hình ảnh của,Khí phế thũng,DiseaseSubtype,C0034067,,"bóng khí (tức là, khoảng thấu quang > 1 cm bao quanh bởi đường cong, viền mỏng)",01_copd.txt
9,Bạch cầu trung tính,Mechanism,C0027950,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"Tổn thương oxy hóa do bạch cầu trung tính gây ra, giải phóng các peptide thần kinh chức năng (ví dụ: bomesin) và giảm mức độ yếu tố tăng trưởng nội mô mạch máu (VEGF) có thể góp phần phá hủy nhu mô phổi theo chương trình.",01_copd.txt
10,Bệnh phổi tắc nghẽn mãn tính (COPD),Disease,C0024117,,Có bệnh đồng mắc là,Ung thư phổi,Disease,C0684249,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
