source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
Amoxicillin,Drug,C0002645,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
Amoxicillin/clavulanate,Drug,C0054066,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
Amoxicillin/clavulanate,Drug,C0054066,,TREATS,Đợt cấp bệnh phổi,Disease,,,0.9,1,2,Bệnh nhân có thể được hướng dẫn để nhận ra sự thay đổi đờm từ bình thường sang mủ như là một dấu hiệu của đợt cấp sắp tới và bắt đầu một đợt điều trị kháng sinh từ 10 đến 14 ngày.,03_dieutridotcap.txt
Azithromycin,Drug,C0052796,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,Một loại kháng sinh thay thế là azithromycin.,03_dieutridotcap.txt
COPD giai đoạn ổn định,DiseaseSubtype,,,IS_SUBTYPE_OF,Bệnh phổi tắc nghẽn mạn tính (COPD),Disease,C0024117,,0.99,2,2,Xử trí bệnh phổi tắc nghẽn mạn tính (COPD) bao gồm điều trị bệnh mạn tính ổn định và điều trị đợt cấp.,03_dieutridotcap.txt
COPD giai đoạn ổn định,DiseaseSubtype,,,IS_SUBTYPE_OF,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.99,2,2,Xử trí bệnh phổi tắc nghẽn mạn tính (COPD) bao gồm điều trị bệnh mạn tính ổn định và điều trị đợt cấp.,03_dieutridotcap.txt
COPD giai đoạn ổn định,DiseaseSubtype,,,IS_SUBTYPE_OF,Hạn chế luồng khí,Sign,C0024117,,0.99,2,2,Xử trí bệnh phổi tắc nghẽn mạn tính (COPD) bao gồm điều trị bệnh mạn tính ổn định và điều trị đợt cấp.,03_dieutridotcap.txt
COPD nặng,DiseaseSubtype,C0730607,,IS_SUBTYPE_OF,Bệnh phổi tắc nghẽn mạn tính (COPD),Disease,C0024117,,0.99,1,2,Đối với những bệnh nhân mắc COPD nặng,03_dieutridotcap.txt
COPD nặng,DiseaseSubtype,C0730607,,IS_SUBTYPE_OF,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,0.99,1,2,Đối với những bệnh nhân mắc COPD nặng,03_dieutridotcap.txt
COPD nặng,DiseaseSubtype,C0730607,,IS_SUBTYPE_OF,Hạn chế luồng khí,Sign,C0024117,,0.99,1,2,Đối với những bệnh nhân mắc COPD nặng,03_dieutridotcap.txt
Cephalosporin thế hệ thứ hai,DrugClass,C0304319,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
Corticosteroid,Drug,C0001617,,TREATS,Hẹp đường dẫn khí,Mechanism,C0001883,,0.98,2,2,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
Corticosteroid,Drug,C0001617,,TREATS,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,0.98,2,2,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
Doxycycline,Drug,C0013090,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
Fluoroquinolones,DrugClass,C0949665,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
Ipratropium,Drug,C0027235,,TREATS,Đợt cấp COPD,DiseaseSubtype,C0340044,,0.99,2,2,"Ipratropium, thuốc kháng cholinergic, có hiệu quả trong đợt cấp của COPD",03_dieutridotcap.txt
Kháng sinh,DrugClass,C0003232,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.99,2,2,Kháng sinh được khuyến nghị để điều trị đợt cấp ở bệnh nhân có đờm mủ.,03_dieutridotcap.txt
Kháng sinh,DrugClass,C0003232,,TREATS,Đợt cấp COPD,DiseaseSubtype,C0340044,,0.99,2,2,Sử dụng kháng sinh nếu bệnh nhân có đợt cấp và đờm mủ.,03_dieutridotcap.txt
Khí dung liên tục,Treatment,C5670081,,TREATS,Co thắt phế quản nặng,DiseaseSubtype,,,0.99,2,2,"Trong trường hợp co thắt phế quản nặng, không đáp ứng, đôi khi có thể sử dụng phương pháp điều trị bằng khí dung liên tục.",03_dieutridotcap.txt
Liệu pháp oxy,Treatment,C3665674,,TREATS,Hẹp đường dẫn khí,Mechanism,C0001883,,0.99,2,2,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
Liệu pháp oxy,Treatment,C3665674,,TREATS,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,0.99,2,2,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
Liệu pháp oxy,Treatment,C3665674,,TREATS,Đợt cấp COPD,DiseaseSubtype,C0340044,,0.99,2,2,đều cần bổ sung oxy trong đợt cấp.,03_dieutridotcap.txt
Liệu pháp oxy lưu lượng cao qua mũi (HFNC),Treatment,C4761117,,TREATS,Suy hô hấp cấp,Disease,C0264490,,0.95,1,2,Cũng đã sử dụng liệu pháp oxy qua mũi với lưu lượng cao cho bệnh nhân suy hô hấp cấp do đợt cấp của COPD,03_dieutridotcap.txt
Macrolide,DrugClass,C0003240,,TREATS,Đợt cấp,DiseaseSubtype,C2919376,,0.9,1,2,"Ở những bệnh nhân có nhiều đợt cấp, sử dụng macrolide kéo dài làm giảm tần số đợt cấp",03_dieutridotcap.txt
Macrolide,DrugClass,C0003240,,TREATS,Đợt cấp bệnh phổi,Disease,,,0.9,1,2,"Ở những bệnh nhân có nhiều đợt cấp, sử dụng macrolide kéo dài làm giảm tần số đợt cấp",03_dieutridotcap.txt
Methylxanthines,DrugClass,C0066447,,TREATS,Đợt cấp COPD,DiseaseSubtype,C0340044,,0.99,2,2,"Methylxanthines, một thuốc được coi là cần thiết trong điều trị đợt cấp của COPD, không còn được sử dụng do độc tính nhiều hơn lợi ích.",03_dieutridotcap.txt
Phù phổi,Disease,C0034063,,CAUSES,Tăng CO2 máu,Mechanism,C0020440,,0.99,2,2,các yếu tố khác gây tăng CO2 máu (ví dụ: viêm phổi hoặc phù phổi).,03_dieutridotcap.txt
Phù phổi,Disease,C0034063,,CAUSES,Tăng carbon dioxide,Disease,C0020440,,0.99,2,2,các yếu tố khác gây tăng CO2 máu (ví dụ: viêm phổi hoặc phù phổi).,03_dieutridotcap.txt
Thuốc an thần giảm nhẹ,DrugClass,C2878220,,TREATS,COPD nặng,DiseaseSubtype,C0730607,,0.99,2,2,"Đối với những bệnh nhân mắc COPD nặng, hãy chủ động giải quyết vấn đề chăm sóc cuối đời, bao gồm các ưu tiên về thở máy và thuốc an thần giảm nhẹ.",03_dieutridotcap.txt
Thuốc chủ vận beta,DrugClass,C0001644,,TREATS,Hẹp đường dẫn khí,Mechanism,C0001883,,0.99,2,2,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
Thuốc chủ vận beta,DrugClass,C0001644,,TREATS,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,0.99,2,2,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
Thuốc chủ vận beta tác dụng ngắn,DrugClass,,,TREATS,Đợt cấp COPD,DiseaseSubtype,C0340044,,0.99,1,2,Thuốc chủ vận beta tác dụng ngắn dạng hít là nền tảng của điều trị bằng thuốc trong các đợt cấp tính.,03_dieutridotcap.txt
Thuốc chủ vận beta tác dụng ngắn (SABA),DrugClass,,,TREATS,Đợt cấp COPD,DiseaseSubtype,C0340044,,0.99,1,2,Thuốc chủ vận beta tác dụng ngắn dạng hít là nền tảng của điều trị bằng thuốc trong các đợt cấp tính.,03_dieutridotcap.txt
