source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
Aliskiren,Drug,C1120110,,CONTRAINDICATED_IN,Bệnh thận,Disease,C0022658,,0.99,2,2,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường hoặc bệnh thận,02_thuocdieutri.txt
Aliskiren,Drug,C1120110,,CONTRAINDICATED_IN,Mang thai,DiseaseSubtype,C0549206,,0.99,2,2,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
Aliskiren,Drug,C1120110,,CONTRAINDICATED_IN,Thai kỳ,PatientGroup,C0549206,,0.99,2,2,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
Aliskiren,Drug,C1120110,,CONTRAINDICATED_IN,Thời kỳ mang thai,RiskFactor,C0549206,,0.99,2,2,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
Aliskiren,Drug,C1120110,,CONTRAINDICATED_IN,Đái tháo đường,Disease,C0011849,,0.99,2,2,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường,02_thuocdieutri.txt
Aliskiren,Drug,C1120110,,TREATS,Tăng huyết áp,Disease,C0020538,,0.99,2,2,"Aliskiren, một chất ức chế renin trực tiếp, được sử dụng trong điều trị tăng huyết áp.",02_thuocdieutri.txt
Bệnh não do tăng huyết áp,Disease,C0151620,,LEADS_TO,Phù gai thị,Complication,C0030353,,0.95,1,2,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
Bệnh não do tăng huyết áp,Disease,C0151620,,LEADS_TO,Phù não,Complication,C0006114,,0.95,1,2,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
Bệnh não tăng huyết áp,Complication,C0151620,,LEADS_TO,Phù gai thị,Complication,C0030353,,0.95,1,2,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
Bệnh não tăng huyết áp,Complication,C0151620,,LEADS_TO,Phù não,Complication,C0006114,,0.95,1,2,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
Bệnh võng mạc,Complication,C0035309,,LEADS_TO,Bệnh não do tăng huyết áp,Disease,C0151620,,0.96,2,2,"Bệnh võng mạc giai đoạn nặng (xơ hóa, xuất tiết xuất huyết dạng bông, hẹp tiểu động mạch, phù gai thị) thường đi kèm với bệnh não do tăng huyết áp",02_thuocdieutri.txt
Bệnh võng mạc,Complication,C0035309,,LEADS_TO,Bệnh não tăng huyết áp,Complication,C0151620,,0.96,2,2,"Bệnh võng mạc giai đoạn nặng (xơ hóa, xuất tiết xuất huyết dạng bông, hẹp tiểu động mạch, phù gai thị) thường đi kèm với bệnh não do tăng huyết áp",02_thuocdieutri.txt
CT sọ não,Test,C0202691,,DIAGNOSES,Xuất huyết não,DiseaseSubtype,C2937358,,0.99,2,2,Bệnh nhân có các triệu chứng thần kinh cần chụp CT sọ để chẩn đoán xuất huyết não,02_thuocdieutri.txt
Chlorthalidone,Drug,C0008294,,TREATS,Bệnh thận mạn tính giai đoạn 4,DiseaseSubtype,C2317473,,0.99,2,2,chlorthalidone đã được chứng minh là có hiệu quả trong việc cải thiện huyết áp trên bệnh nhân có mức lọc cầu thận < 30 mL/phút.,02_thuocdieutri.txt
Chế độ ăn ít chất béo,Treatment,C0242970,,TREATS,Rối loạn lipid máu,Disease,C0242339,,0.96,2,2,Lipid máu tăng rõ trong vòng 4 tuần điều trị và có thể được cải thiện bởi một chế độ ăn ít chất béo.,02_thuocdieutri.txt
Chỉ số huyết áp,Measurement,C0005824,Thông số: Huyết áp,DIAGNOSES,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.99,2,2,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
Chỉ số huyết áp,Measurement,C0005824,Thông số: Huyết áp,DIAGNOSES,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.99,2,2,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
Chụp CT đầu,Test,,,DIAGNOSES,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.9,1,2,"đối với những bệnh nhân có triệu chứng hoặc dấu hiệu thần kinh, hãy chụp CT đầu.",02_thuocdieutri.txt
Chụp CT đầu,Test,,,DIAGNOSES,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.9,1,2,"đối với những bệnh nhân có triệu chứng hoặc dấu hiệu thần kinh, hãy chụp CT đầu.",02_thuocdieutri.txt
Clevidipine,Drug,C0766108,,TREATS,Tăng huyết áp chu phẫu,DiseaseSubtype,C3661921,,0.99,2,2,Nó đã được chứng minh là có hiệu quả và an toàn trong việc kiểm soát tăng huyết áp chu phẫu,02_thuocdieutri.txt
Clevidipine,Drug,C0766108,,TREATS,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.99,4,2,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
Clevidipine,Drug,C0766108,,TREATS,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.99,4,2,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
Di truyền,RiskFactor,C0017398,,INCREASES_RISK_OF,Bệnh gout,Disease,C0018099,,0.99,4,2,Yếu tố di truyền có thể giải thích cho một vài trường hợp bị bệnh gout,02_thuocdieutri.txt
ECG,Test,C1623258,,DETECTS,Thiếu máu cục bộ cấp tính,Complication,C0746731,,0.99,2,2,Những bất thường trên ECG gợi ý tổn thương cơ quan đích cấp tính bao gồm các thay đổi do thiếu máu cục bộ cấp tính.,02_thuocdieutri.txt
ECG,Test,C1623258,,DIAGNOSES,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.99,4,2,"Đo ECG và phân tích nước tiểu, đo điện giải trong huyết thanh và creatinine, và đối với những bệnh nhân có triệu chứng hoặc dấu hiệu thần kinh, hãy chụp CT đầu.",02_thuocdieutri.txt
ECG,Test,C1623258,,DIAGNOSES,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.99,4,2,"Đo ECG và phân tích nước tiểu, đo điện giải trong huyết thanh và creatinine, và đối với những bệnh nhân có triệu chứng hoặc dấu hiệu thần kinh, hãy chụp CT đầu.",02_thuocdieutri.txt
Fenoldopam,Drug,C0060180,,TREATS,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.99,4,2,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
Fenoldopam,Drug,C0060180,,TREATS,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.99,4,2,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
GFR ước tính < 60 mL/phút,Measurement,,Thông số: GFR ước tính; Giá trị: <60 mL/phút,DEFINES_THRESHOLD_FOR,Bệnh thận,Disease,C0022658,,0.99,2,2,bệnh thận (GFR ước tính < 60 mL/phút),02_thuocdieutri.txt
GFR: 30 - 60 mL/phút,Measurement,,Thông số: GFR; min_value: 30; max_value: 60,DEFINES_THRESHOLD_FOR,Bệnh thận giai đoạn 3,DiseaseSubtype,C2316787,,0.99,1,2,Bệnh nhân mắc bệnh thận giai đoạn 3 (mức lọc cầu thận ước tính [GFR] < 60 mL/phút đến > 30 mL/phút),02_thuocdieutri.txt
Giảm khả năng co bóp cơ tim,Mechanism,,,UNDERLIES,Tăng huyết áp,Disease,C0020538,,0.9,1,2,"Thuốc chẹn beta làm chậm nhịp tim và giảm khả năng co bóp cơ tim, do đó làm giảm huyết áp.",02_thuocdieutri.txt
Huyết áp chẩn đoán Tăng huyết áp cấp cứu: tâm thu > 180 mmHg hoặc tâm trương >= 120 mmHg,Measurement,,Thông số: Huyết áp chẩn đoán Tăng huyết áp cấp cứu; Huyết áp 180/120 mmHg,DEFINES_THRESHOLD_FOR,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.99,2,2,Tăng huyết áp cấp cứu là huyết áp tăng cao đáng kể (ví dụ: huyết áp tâm thu > 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
Huyết áp chẩn đoán Tăng huyết áp cấp cứu: tâm thu > 180 mmHg hoặc tâm trương >= 120 mmHg,Measurement,,Thông số: Huyết áp chẩn đoán Tăng huyết áp cấp cứu; Huyết áp 180/120 mmHg,DEFINES_THRESHOLD_FOR,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.99,2,2,Tăng huyết áp cấp cứu là huyết áp tăng cao đáng kể (ví dụ: huyết áp tâm thu > 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
Huyết áp tâm thu > 180 mmHg,Measurement,,Thông số: Huyết áp tâm thu; Giá trị: >180 mmHg,DEFINES_THRESHOLD_FOR,Tăng huyết áp nặng,DiseaseSubtype,C5395247,,0.99,2,2,Tăng huyết áp nặng (ví dụ: huyết áp tâm thu > 180 mm Hg),02_thuocdieutri.txt
Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,,Thông số: Huyết áp tâm thu và tâm trương; Huyết áp 180/120 mmHg,DEFINES_THRESHOLD_FOR,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,0.99,2,2,Tăng huyết áp cấp cứu là tăng huyết áp nặng (thường được xác định là huyết áp tâm thu (HA) >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,,Thông số: Huyết áp tâm thu và tâm trương; Huyết áp 180/120 mmHg,DEFINES_THRESHOLD_FOR,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,0.99,2,2,Tăng huyết áp cấp cứu là tăng huyết áp nặng (thường được xác định là huyết áp tâm thu (HA) >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
Huyết áp động mạch trung bình (MAP) ngưỡng giãn mạch não: 160 mmHg,Measurement,,Thông số: Huyết áp động mạch trung bình (MAP); Giá trị: >160 mmHg,DEFINES_THRESHOLD_FOR,Bệnh não do tăng huyết áp,Disease,C0151620,,0.85,1,2,"Trên huyết áp động mạch trung bình (MAP) khoảng 160 mm Hg (thấp hơn đối với những người có huyết áp bình thường có huyết áp tăng đột ngột), các mạch não bắt đầu giãn ra thay vì vẫn bị co thắt.",02_thuocdieutri.txt
Huyết áp động mạch trung bình (MAP) ngưỡng giãn mạch não: 160 mmHg,Measurement,,Thông số: Huyết áp động mạch trung bình (MAP); Giá trị: >160 mmHg,DEFINES_THRESHOLD_FOR,Bệnh não tăng huyết áp,Complication,C0151620,,0.85,1,2,"Trên huyết áp động mạch trung bình (MAP) khoảng 160 mm Hg (thấp hơn đối với những người có huyết áp bình thường có huyết áp tăng đột ngột), các mạch não bắt đầu giãn ra thay vì vẫn bị co thắt.",02_thuocdieutri.txt
Hút thuốc lá,RiskFactor,C0453996,,INCREASES_RISK_OF,Phù mạch,Complication,C0002994,,0.9,1,2,Phù mạch phổ biến nhất ở những bệnh nhân có nguồn gốc châu Phi và những người hút thuốc.,02_thuocdieutri.txt
Hội chứng chuyển hóa,Disease,C0524620,,INCREASES_RISK_OF,Đái tháo đường loại 2,Disease,C0011860,,0.9,1,2,thuốc lợi tiểu thúc đẩy hoặc làm trầm trọng thêm bệnh tiểu đường loại 2 ở bệnh nhân có hội chứng chuyển hóa.,02_thuocdieutri.txt
Labetalol,Drug,C0022860,,CONTRAINDICATED_IN,Hen suyễn,Disease,C0004096,,0.99,2,2,không nên sử dụng labetalol trong trường hợp tăng huyết áp cấp cứu ở bệnh nhân hen suyễn.,02_thuocdieutri.txt
Labetalol,Drug,C0022860,,TREATS,Nhồi máu cơ tim,Disease,C0027051,,0.99,1,2,Labetalol được dùng cho phụ nữ có thai có những rối loạn nội sọ đòi hỏi kiểm soát huyết áp và sau nhồi máu cơ tim.,02_thuocdieutri.txt
