STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
1,ACC/AHA,Guideline,C4072694,,Phân loại thể bệnh,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C5231206,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
2,ACC/AHA,Guideline,C4072694,,Phân loại thể bệnh,Tăng huyết áp giai đoạn 2,DiseaseSubtype,C5231205,,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
3,ACE,Mechanism,C1452534,,Gây tổn thương cơ quan,Não,Organ,C0006104,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
4,ACE,Mechanism,C1452534,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi",01_tanghuyetap.txt
5,ACE,Mechanism,C1452534,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
6,Abatacept,Drug,C1619966,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Antithymocyte globulin (ATG), thuốc ức chế TNF-alpha (yếu tố hoại tử khối u-alpha) và abatacept (CTLA-4-Ig) đã cho thấy một số hứa hẹn trong việc bảo tồn chức năng tế bào beta ở bệnh đái tháo đường loại 1 mới khởi phát",01_daithaoduong.txt
7,Acetaminophen,Drug,C0000970,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,Bệnh nhân hen suyễn nhạy cảm với aspirinn có thể sử dụng acetaminophen,henphequan.txt
8,Adipokine,Mechanism,C1955907,,Làm thay đổi / điều biến,Đề kháng insulin,Mechanism,C0021655,,"Mô mỡ cũng có chức năng như một cơ quan nội tiết, giải phóng nhiều yếu tố (adipocytokine) có lợi (adiponectin) và bất lợi (yếu tố hoại tử khối u-alpha, interleukin-6, leptin, resistin) ảnh hưởng đến quá trình chuyển hóa glucose.",01_daithaoduong.txt
9,Adipokine,Mechanism,C1955907,,Là cơ chế sinh bệnh học của,Hen suyễn,Disease,C0004096,,"Các chất trung gian chính liên quan đến các nghiên cứu quan sát và nghiên cứu cắt ngang bao gồm leptin, adipokine và Il-6 huyết thanh.",henphequan.txt
10,Aldosterone,Mechanism,C0002006,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,Aldosterone gây giữ natri,01_tanghuyetap.txt
11,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Bệnh thận,Disease,C0022658,,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường hoặc bệnh thận,02_thuocdieutri.txt
12,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Mang thai,DiseaseSubtype,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
13,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Thai kỳ,PatientGroup,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
14,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Thời kỳ mang thai,RiskFactor,C0549206,,Thuốc cũng bị chống chỉ định trong thai kỳ.,02_thuocdieutri.txt
15,Aliskiren,Drug,C1120110,,Chống chỉ định cho,Đái tháo đường,Disease,C0011849,,Không nên phối hợp Aliskiren với thuốc ức chế ACE hoặc thuốc ức chế thụ thể angiotensin II ở bệnh nhân tiểu đường,02_thuocdieutri.txt
16,Aliskiren,Drug,C1120110,,Điều trị,Tăng huyết áp,Disease,C0020538,,"Aliskiren, một chất ức chế renin trực tiếp, được sử dụng trong điều trị tăng huyết áp.",02_thuocdieutri.txt
17,Angiotensin,Mechanism,C4521302,,Là cơ chế sinh bệnh học của,Tăng huyết áp,Disease,C0020538,,"sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
18,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Aldosterone,Mechanism,C0002006,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
19,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Bệnh mạch thận,Cause,C0020545,,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
20,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
21,Angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,Vasopressin,Mechanism,C1705480,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
22,Antiproteinase,Mechanism,C6024768,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
23,Antiproteinase,Mechanism,C6024768,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
24,Antithymocyte globulin,Drug,C0003442,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Antithymocyte globulin (ATG), thuốc ức chế TNF-alpha (yếu tố hoại tử khối u-alpha) và abatacept (CTLA-4-Ig) đã cho thấy một số hứa hẹn trong việc bảo tồn chức năng tế bào beta ở bệnh đái tháo đường loại 1 mới khởi phát",01_daithaoduong.txt
25,Aspirin,Drug,C0004057,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,Việc điều trị đầu tiên cho hen nhạy cảm aspirin là tránh aspirin và NSAID khác.,henphequan.txt
26,Azathioprine,Drug,C0004482,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Các phương pháp điều trị khác nhắm vào đáp ứng viêm tự miễn, bao gồm azathioprine, corticosteroid và cyclosporine, giúp làm giảm bệnh tiểu đường loại 1 sớm ở một số bệnh nhân",01_daithaoduong.txt
27,Azithromycin,Drug,C0052796,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
28,Azithromycin,Drug,C0052796,,Điều trị,Chồng chéo Hen suyễn-COPD,Disease,C4038730,,ACO đại diện cho một nhóm nhỏ bệnh nhân hen suyễn (từ 15 đến 35%) và COPD (từ 10 đến 40%) có thể đáp ứng với các loại thuốc không thường được chỉ định cho tình trạng rối loạn tương ứng với chẩn đoán chính của bệnh nhân (ví dụ: kê đơn roflimulast/azithromycin,henphequan.txt
29,Azithromycin,Drug,C0052796,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
30,Azithromycin,Drug,C0052796,,Điều trị,Hạn chế luồng khí,Sign,C0024117,,ví dụ: kê đơn roflimulast/azithromycin cho bệnh nhân có chẩn đoán bằng liệu pháp sinh học điều trị hen suyễn hoặc T2 ở bệnh nhân có chẩn đoán mắc COPD.,henphequan.txt
31,Bisphosphonat,Drug,C0012544,,Điều trị,Loãng xương,Disease,C0029456,,"Bệnh nhân cần dùng corticosteroid hít, đặc biệt là những người có các yếu tố nguy cơ gây loãng xương, có thể cần dùng thêm các biện pháp để bảo vệ mật độ xương (ví dụ: chất bổ sung canxi và vitamin D, bisphosphonat).",henphequan.txt
32,Biến chứng mạch máu,Complication,C0920165,,Gây tổn thương cơ quan,Mạch máu lớn,Organ,C0225991,,"Nhiều năm kiểm soát tăng đường huyết kém dẫn tới nhiều biến chứng mạch máu, ảnh hưởng tới mạch máu nhỏ (vi mạch), mạch lớn (mạch máu lớn), hoặc cả hai.",01_daithaoduong.txt
33,Biến chứng mạch máu,Complication,C0920165,,Gây tổn thương cơ quan,Mạch máu nhỏ,Organ,C0225988,,"Nhiều năm kiểm soát tăng đường huyết kém dẫn tới nhiều biến chứng mạch máu, ảnh hưởng tới mạch máu nhỏ (vi mạch), mạch lớn (mạch máu lớn), hoặc cả hai.",01_daithaoduong.txt
34,Biến chứng tăng huyết áp,Complication,C3266050,,Gây tổn thương cơ quan,"Cơ quan đích (Tim mạch, Não, Thận)",Organ,Chưa có,,"Tăng huyết áp nặng hoặc kéo dài gây tổn thương hệ tim mạch, não và thận, làm tăng nguy cơ nhồi máu cơ tim, đột quỵ, và bệnh thận mạn.",01_tanghuyetap.txt
35,Biến chứng tăng huyết áp,Complication,C3266050,,Gây tổn thương cơ quan,"Hệ tim mạch, não, thận",Organ,Chưa có,,"Tăng huyết áp nặng hoặc kéo dài gây tổn thương hệ tim mạch, não và thận, làm tăng nguy cơ nhồi máu cơ tim, đột quỵ, và bệnh thận mạn.",01_tanghuyetap.txt
36,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
37,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD,01_copd.txt
38,Biến thể di truyền,Cause,C4296572,,Là cơ chế sinh bệnh học của,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"Trong những năm gần đây, đã có 30 biến thể di truyền được tìm thấy có liên quan đến COPD hoặc suy giảm chức năng phổi ở các quần thể được lựa chọn, nhưng không có kết quả nào được chứng minh là có hậu quả như alpha-1 antitrypsin.",01_copd.txt
39,Bradykinin,Mechanism,C0006100,,Là cơ chế sinh bệnh học của,Tăng huyết áp,Disease,C0020538,,"Thiếu hụt chất giãn mạch (ví dụ: bradykinin, oxit nitric), thay vì sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
40,Bài tập sức đề kháng,Treatment,C0872279,,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Cả bài tập thể dục nhịp điệu và bài tập sức đề kháng đều đã được chứng minh là cải thiện việc kiểm soát đường huyết ở bệnh tiểu đường loại 2,01_daithaoduong.txt
