source_name,source_type,source_cui,source_formatted_attributes,relation_type,target_name,target_type,target_cui,target_formatted_attributes,confidence,agreement_count,total_passes,evidence_span,source_document
ACC/AHA,Guideline,C4072694,,CLASSIFIES,Tăng huyết áp giai đoạn 1,DiseaseSubtype,C5231206,,0.99,2,2,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
ACC/AHA,Guideline,C4072694,,CLASSIFIES,Tăng huyết áp giai đoạn 2,DiseaseSubtype,C5231205,,0.99,2,2,"Các loại BP ở người lớn, được định nghĩa bởi Hội Tim mạch Hoa Kỳ/Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA), bao gồm BP bình thường, BP cao, tăng huyết áp giai đoạn 1 (nhẹ) hoặc giai đoạn 2 .",01_tanghuyetap.txt
ACE,Mechanism,C1452534,,AFFECTS_ORGAN,Não,Organ,C0006104,,0.9,1,2,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
ACE,Mechanism,C1452534,,AFFECTS_ORGAN,Phổi,Organ,C0024109,,0.99,2,2,"enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi",01_tanghuyetap.txt
ACE,Mechanism,C1452534,,AFFECTS_ORGAN,Thận,Organ,C0022646,,0.9,1,2,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
Aldosterone,Mechanism,C0002006,,AFFECTS_ORGAN,Thận,Organ,C0022646,,0.85,1,2,Aldosterone gây giữ natri,01_tanghuyetap.txt
Angiotensin,Mechanism,C4521302,,UNDERLIES,Tăng huyết áp,Disease,C0020538,,0.9,1,2,"sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
Angiotensin II,Mechanism,C3714928,,UNDERLIES,Aldosterone,Mechanism,C0002006,,0.95,1,2,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
Angiotensin II,Mechanism,C3714928,,UNDERLIES,Bệnh mạch thận,Cause,C0020545,,0.99,2,2,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
Angiotensin II,Mechanism,C3714928,,UNDERLIES,Tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,0.99,2,2,Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận,01_tanghuyetap.txt
Angiotensin II,Mechanism,C3714928,,UNDERLIES,Vasopressin,Mechanism,C1705480,,0.95,1,2,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II, chất co mạch mạnh, chất này cũng kích thích các trung tâm thần kinh thực vật trong não để tăng cường giải phóng giao cảm và kích thích giải phóng aldosterone và vasopressin.",01_tanghuyetap.txt
Biến chứng tăng huyết áp,Complication,C3266050,,AFFECTS_ORGAN,"Cơ quan đích (Tim mạch, Não, Thận)",Organ,,,0.99,1,2,"Tăng huyết áp nặng hoặc kéo dài gây tổn thương hệ tim mạch, não và thận, làm tăng nguy cơ nhồi máu cơ tim, đột quỵ, và bệnh thận mạn.",01_tanghuyetap.txt
Biến chứng tăng huyết áp,Complication,C3266050,,AFFECTS_ORGAN,"Hệ tim mạch, não, thận",Organ,,,0.99,1,2,"Tăng huyết áp nặng hoặc kéo dài gây tổn thương hệ tim mạch, não và thận, làm tăng nguy cơ nhồi máu cơ tim, đột quỵ, và bệnh thận mạn.",01_tanghuyetap.txt
